responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
604,raw_position_sample,2,3,adv,12,1,1,2,18, overlooked ,643,156,,,,,,,test,test,,,161.26666259765625,586.36669921875,181.26666259765625,679.4666900634766,2,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258049,,,,,,,,,,,,,,,test,test
654,raw_position_sample,2,3,adv,12,1,1,2,18, overlooked ,642,152,,,,,,,test,test,,,161.26666259765625,586.36669921875,181.26666259765625,679.4666900634766,2,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258099,,,,,,,,,,,,,,,test,test
660,hover_association,2,3,adv,12,1,1,2,18, overlooked ,654,180,hover,150,150,0.5975651000126938,0.01833343505859375,133,test,test,,,151.26666259765625,586.36669921875,191.26666259765625,679.466682434082,2,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
705,raw_position_sample,2,3,adv,12,1,1,2,1," Crunchy, ",636,140,,,,,,,test,test,,,121.26666259765625,586.36669921875,141.26666259765625,662.0833587646484,1,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258149,,,,,,,,,,,,,,,test,test
755,raw_position_sample,2,3,adv,12,1,1,2,1," Crunchy, ",635,138,,,,,,,test,test,,,121.26666259765625,586.36669921875,141.26666259765625,662.0833587646484,1,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258200,,,,,,,,,,,,,,,test,test
805,raw_position_sample,2,3,adv,12,1,1,2,1," Crunchy, ",630,126,,,,,,,test,test,,,121.26666259765625,586.36669921875,141.26666259765625,662.0833587646484,1,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258250,,,,,,,,,,,,,,,test,test
856,raw_position_sample,2,3,adv,12,1,1,2,1," Crunchy, ",622,112,,,,,,,test,test,,,121.26666259765625,586.36669921875,141.26666259765625,662.0833587646484,1,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258301,,,,,,,,,,,,,,,test,test
861,hover_association,2,3,adv,12,1,1,2,1," Crunchy, ",639,147,hover,200,200,0.49582275795350006,0.01833343505859375,133,test,test,,,111.26666259765625,582.580866241455,151.26666259765625,662.0833358764648,1,1,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
905,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258350,,,,,,,,,,,,,,,test,test
962,raw_position_sample,2,3,adv,12,1,1,2,-1,999,619,109,,,,,,,test,test,,,,,,,,,advanced,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258406,,,,,,,,,,,,,,,test,test
