responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
548,raw_position_sample,2,2,int,,,900,1,-1,999,361,90,920407.4000000004,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
598,raw_position_sample,2,2,int,,,900,1,-1,999,361,90,920457.5999999996,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
645,raw_position_sample,2,2,int,,,900,1,-1,999,361,90,920504.5999999996,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
684,raw_position_sample,2,2,int,,,900,1,-1,999,362,91,920543.3000000007,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
734,raw_position_sample,2,2,int,,,900,1,-1,999,364,91,920592.9000000004,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
785,raw_position_sample,2,2,int,,,900,1,-1,999,372,97,920644.3000000007,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
837,raw_position_sample,2,2,int,,,900,1,-1,999,377,99,920696.5999999996,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
886,raw_position_sample,2,2,int,,,900,1,-1,999,391,104,920745.6999999993,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
935,raw_position_sample,2,2,int,,,900,1,-1,999,394,105,920794.5999999996,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
990,raw_position_sample,2,2,int,,,900,1,-1,999,394,105,920849.6999999993,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1036,raw_position_sample,2,2,int,,,900,1,-1,999,399,107,920895.3000000007,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1084,raw_position_sample,2,2,int,,,900,1,-1,999,401,107,920943.3000000007,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
1137,raw_position_sample,2,2,int,,,900,1,-1,999,407,110,920995.8000000007,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69187dfea6c5415f0ed531d0,69187dfea6c5415f0ed531d0
