responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1112,raw_position_sample,2,1,ele,11,2,7,8,16, four ,980,132,164306,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,976.933349609375,130.06666564941406,1012.9666748046875,1,16,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1162,raw_position_sample,2,1,ele,11,2,7,8,16, four ,1005,132,164357,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,976.933349609375,130.06666564941406,1012.9666748046875,1,16,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1200,hover_association,2,1,ele,11,2,7,8,16, four ,980,132,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,976.933349609375,140.06666564941406,1012.9666748046875,1,16,hover,101,101,0.9731727560682284,0.7983333587646484,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1213,raw_position_sample,2,1,ele,11,2,7,8,17, meters ,1013,132,164407,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,1012.9666748046875,130.06666564941406,1068.000015258789,1,17,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1234,hover_association,2,1,ele,11,2,7,8,17, meters ,1013,132,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,1012.9666748046875,140.06666564941406,1068.000015258789,1,17,hover,33,33,0.0006055455663334411,0.7983333587646484,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1263,raw_position_sample,2,1,ele,11,2,7,8,16, four ,983,132,164458,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,976.933349609375,130.06666564941406,1012.9666748046875,1,16,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1267,hover_association,2,1,ele,11,2,7,8,16, four ,1004,132,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,976.933349609375,140.06666564941406,1012.9666748046875,1,16,hover,32,32,0.16836221352711012,0.7983333587646484,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1283,hover_association,2,1,ele,11,2,7,8,14, three ,918,135,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,909.8666687011719,140.06666564941406,955.9166946411133,1,14,hover,17,17,0.1766194726890196,0.8733333587646485,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1300,hover_association,2,1,ele,11,2,7,8,12, journey ,859,137,,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,825.783332824707,140.06666564941406,889.849983215332,1,12,hover,17,17,0.5184704830479733,0.9233333587646484,130,,,,,,,,,,,,,,,EmTest5,EmTest5
1314,raw_position_sample,2,1,ele,11,2,7,8,26, very ,756,141,164508,EmTest5,EmTest5,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,739.75,170.06666564941406,778.7666625976562,2,9,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
