responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
341,raw_position_sample,2,2,int,1,2,17,18,2, was ,451,106,280417,EmTest5,EmTest5,110.06666564941406,429.41668701171875,130.06666564941406,466.433349609375,1,2,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
386,hover_association,2,2,int,1,2,17,18,2, was ,436,101,,EmTest5,EmTest5,100.06666564941406,429.41668701171875,140.06666564941406,466.433349609375,1,2,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,63,63,0.5830702033534438,0.14833335876464843,87,,,,,,,,,,,,,,,EmTest5,EmTest5
389,raw_position_sample,2,2,int,1,2,17,18,4," surprising,” ",540,118,280467,EmTest5,EmTest5,110.06666564941406,505.45001220703125,130.06666564941406,599.5166778564453,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
440,raw_position_sample,2,2,int,1,2,17,18,4," surprising,” ",555,118,280516,EmTest5,EmTest5,110.06666564941406,505.45001220703125,130.06666564941406,599.5166778564453,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
490,raw_position_sample,2,2,int,1,2,17,18,4," surprising,” ",557,118,280567,EmTest5,EmTest5,110.06666564941406,505.45001220703125,130.06666564941406,599.5166778564453,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
540,raw_position_sample,2,2,int,1,2,17,18,4," surprising,” ",557,118,280617,EmTest5,EmTest5,110.06666564941406,505.45001220703125,130.06666564941406,599.5166778564453,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
591,raw_position_sample,2,2,int,1,2,17,18,4," surprising,” ",557,118,280668,EmTest5,EmTest5,110.06666564941406,505.45001220703125,130.06666564941406,599.5166778564453,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
641,raw_position_sample,2,2,int,1,2,17,18,4," surprising,” ",557,118,280718,EmTest5,EmTest5,110.06666564941406,505.45001220703125,130.06666564941406,599.5166778564453,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
692,raw_position_sample,2,2,int,1,2,17,18,4," surprising,” ",557,118,280768,EmTest5,EmTest5,110.06666564941406,505.45001220703125,130.06666564941406,599.5166778564453,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
717,hover_association,2,2,int,1,2,17,18,4," surprising,” ",540,118,,EmTest5,EmTest5,100.06666564941406,505.45001220703125,140.06666564941406,599.5166702270508,1,4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,330,330,0.6649538647334179,0.37333335876464846,87,,,,,,,,,,,,,,,EmTest5,EmTest5
