responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
43,raw_position_sample,2,2,int,,,900,1,-1,999,315,107,303502,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
91,raw_position_sample,2,2,int,,,900,1,-1,999,296,101,303550.3999999985,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
138,raw_position_sample,2,2,int,,,900,1,-1,999,296,101,303597.69999999925,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
189,raw_position_sample,2,2,int,,,900,1,-1,999,296,101,303648.19999999925,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
238,raw_position_sample,2,2,int,,,900,1,-1,999,297,101,303697.3999999985,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
288,raw_position_sample,2,2,int,,,900,1,-1,999,335,112,303747.5,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
330,hover_association,2,2,int,,,900,1,15, fog ,417,146,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.899999998509884,16.899999998509884,0.05334374186833203,0.184375,19,138.625,415.3984375,178.625,445.421875,2,2,,,,,,,,,,,,,,,test,test
339,raw_position_sample,2,2,int,,,900,1,16, with ,467,165,303798.30000000075,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,445.421875,168.875,482.4375,2,3,,,,,,,,,,,,,,,test,test
347,hover_association,2,2,int,,,900,1,16, with ,467,165,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.899999998509884,16.899999998509884,0.5829463908822288,0.659375,19,138.625,445.421875,178.625,482.4375,2,3,,,,,,,,,,,,,,,test,test
388,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,303847.30000000075,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
439,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,303898.19999999925,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
488,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,303947,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
538,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,303997.69999999925,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
588,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,304047.59999999776,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
639,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,304098.19999999925,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
689,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,304148.5,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
737,raw_position_sample,2,2,int,,,900,1,-1,999,543,190,304196.69999999925,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
788,raw_position_sample,2,2,int,,,900,1,-1,999,550,195,304247.3999999985,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
839,raw_position_sample,2,2,int,,,900,1,16, with ,469,172,304298.19999999925,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,445.421875,168.875,482.4375,2,3,,,,,,,,,,,,,,,test,test
866,hover_association,2,2,int,,,900,1,16, with ,469,172,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33.30000000074506,33.30000000074506,0.2317433516251583,0.659375,19,138.625,445.421875,178.625,482.4375,2,3,,,,,,,,,,,,,,,test,test
889,raw_position_sample,2,2,int,,,900,1,15, fog ,438,158,304348.3999999985,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,415.3984375,168.875,445.421875,2,2,,,,,,,,,,,,,,,test,test
