responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
41,raw_position_sample,2,1,ele,8,6,20,21,-1,999,293,112,514148,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
90,raw_position_sample,2,1,ele,8,6,20,21,-1,999,293,112,514197.5,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
140,raw_position_sample,2,1,ele,8,6,20,21,-1,999,293,112,514247.5,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
190,raw_position_sample,2,1,ele,8,6,20,21,-1,999,293,112,514297,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
241,raw_position_sample,2,1,ele,8,6,20,21,-1,999,293,112,514348.09999999776,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
290,raw_position_sample,2,1,ele,8,6,20,21,-1,999,298,94,514397.3999999985,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
340,raw_position_sample,2,1,ele,8,6,20,21,-1,999,357,123,514447.59999999776,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
390,raw_position_sample,2,1,ele,8,6,20,21,1, Scientists ,407,129,514497,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.375,385.375,128.875,467.40625,1,1,,,,,,,,,,,,,,,test,test
418,hover_association,2,1,ele,8,6,20,21,1, Scientists ,392,128,,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,51.099999997764826,51.099999997764826,0.8336703296703297,0.259375,80,118.625,381.95703125,158.625,426.390625,1,1,,,,,,,,,,,,,,,test,test
440,raw_position_sample,2,1,ele,8,6,20,21,14, two-letter ,435,123,514547.59999999776,test,test,elementary,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.375,385.375,168.875,1039.703125,1,2,,,,,,,,,,,,,,,test,test
