responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
61,raw_position_sample,2,1,ele,22,2,23,24,-1,999,315,102,548001.1999999993,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
108,raw_position_sample,2,1,ele,22,2,23,24,-1,999,313,95,548048.0999999978,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
158,raw_position_sample,2,1,ele,22,2,23,24,-1,999,312,94,548098.1999999993,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
207,raw_position_sample,2,1,ele,22,2,23,24,-1,999,312,94,548147,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
257,raw_position_sample,2,1,ele,22,2,23,24,-1,999,324,102,548197.3999999985,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
308,raw_position_sample,2,1,ele,22,2,23,24,-1,999,375,132,548247.5999999978,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
358,raw_position_sample,2,1,ele,22,2,23,24,18, money ,422,152,548298.3999999985,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,385.375,168.875,444.40625,2,1,,,,,,,,,,,,,,,test,test
408,raw_position_sample,2,1,ele,22,2,23,24,18, money ,441,153,548348.3000000007,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,385.375,168.875,444.40625,2,1,,,,,,,,,,,,,,,test,test
433,hover_association,2,1,ele,22,2,23,24,18, money ,390,140,,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,117.40000000223517,117.40000000223517,0.9931180518793012,0.359375,65,138.625,385.375,178.625,444.40625,2,1,,,,,,,,,,,,,,,test,test
458,raw_position_sample,2,1,ele,22,2,23,24,19, to ,445,149,548397.8000000007,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,444.40625,168.875,464.421875,2,2,,,,,,,,,,,,,,,test,test
508,raw_position_sample,2,1,ele,22,2,23,24,19, to ,450,140,548447.5,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,444.40625,168.875,464.421875,2,2,,,,,,,,,,,,,,,test,test
517,hover_association,2,1,ele,22,2,23,24,19, to ,445,151,,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,83.29999999701977,83.29999999701977,0.27946916471506633,0.034375,65,138.625,444.40625,178.625,464.421875,2,2,,,,,,,,,,,,,,,test,test
558,raw_position_sample,2,1,ele,22,2,23,24,2, 2006 ,466,128,548498.3999999985,test,test,elementary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.375,432.375,128.875,477.421875,1,2,,,,,,,,,,,,,,,test,test
