responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
34,raw_position_sample,2,1,ele,8,3,17,18,-1,999,326,106,485256.59999999776,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
75,raw_position_sample,2,1,ele,8,3,17,18,-1,999,292,84,485297.69999999925,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
125,raw_position_sample,2,1,ele,8,3,17,18,-1,999,292,84,485347.80000000075,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
175,raw_position_sample,2,1,ele,8,3,17,18,-1,999,292,84,485397.3999999985,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
224,raw_position_sample,2,1,ele,8,3,17,18,-1,999,292,84,485446.80000000075,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
274,raw_position_sample,2,1,ele,8,3,17,18,-1,999,315,81,485496.80000000075,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
325,raw_position_sample,2,1,ele,8,3,17,18,1, IUPAC ,427,137,485548.09999999776,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.375,385.375,128.875,444.0625,1,1,,,,,,,,,,,,,,,test,test
334,hover_association,2,1,ele,8,3,17,18,1, IUPAC ,383,119,,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,32.69999999925494,32.69999999925494,0.7286474973375932,0.959375,79,98.625,381.1830357142857,138.625,444.0625,1,1,,,,,,,,,,,,,,,test,test
368,hover_association,2,1,ele,8,3,17,18,15, Research ,472,149,,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33.400000002235174,33.400000002235174,0.8483001618893439,0.434375,79,138.625,452.40625,178.625,534.4453125,2,2,,,,,,,,,,,,,,,test,test
375,raw_position_sample,2,1,ele,8,3,17,18,17, Dubna ,578,157,485597.59999999776,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.375,553.4609375,168.875,611.5078125,2,4,,,,,,,,,,,,,,,test,test
384,hover_association,2,1,ele,8,3,17,18,17, Dubna ,578,157,,test,test,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.5,16.5,0.4227456258411844,0.459375,79,138.625,553.4609375,178.625,611.5078125,2,4,,,,,,,,,,,,,,,test,test
