responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1002,raw_position_sample,2,2,int,,,900,1,18, collars ,554,165,114010,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1053,raw_position_sample,2,2,int,,,900,1,18, collars ,554,165,114061,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1104,raw_position_sample,2,2,int,,,900,1,18, collars ,554,165,114112,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1153,raw_position_sample,2,2,int,,,900,1,18, collars ,554,165,114161,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1204,raw_position_sample,2,2,int,,,900,1,18, collars ,554,165,114212,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1254,raw_position_sample,2,2,int,,,900,1,18, collars ,554,165,114262,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1306,raw_position_sample,2,2,int,,,900,1,18, collars ,561,144,114314,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1317,hover_association,2,2,int,,,900,1,18, collars ,550,163,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,545.533332824707,180.06666564941406,602.566650390625,2,5,hover,367,367,0.27118652456815096,0.09833335876464844,19,,,,,,,,,,,,,,,EmTest5,EmTest5
1356,raw_position_sample,2,2,int,,,900,1,4, arrived ,583,129,114364,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,547.5166625976562,130.06666564941406,607.5666656494141,1,4,,,,,,,,,,,,,,,,,,,,,EmTest5,EmTest5
1383,hover_association,2,2,int,,,900,1,4, arrived ,568,137,,EmTest5,EmTest5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,547.5166625976562,140.06666564941406,607.5666580200195,1,4,hover,67,67,0.8573412377508822,0.6483333587646485,19,,,,,,,,,,,,,,,EmTest5,EmTest5
