responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
66516,6075e94a6bed1dc64e9d34c7,6075e94a6bed1dc64e9d34c7,6075e94a6bed1dc64e9d34c7,6075e94a6bed1dc64e9d34c7,spotlight_PROLIFIC,welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.907Z,7VMX7GVC,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,1787646188064,NaN,6075e94a6bed1dc64e9d34c7,6075e94a6bed1dc64e9d34c7,6075e94a6bed1dc64e9d34c7,6075e94a6bed1dc64e9d34c7,spotlight_PROLIFIC,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
249407,,,,,,demographics_onestop,33,Mexico,Spanish,English,,Spanish:80|English:20,100,Spanish:60|English:40,100,Spanish:90|English:10,100,20,0,Bachelor's,10,10,10,9,9,9,12,22,21,22,CEFR,C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
249407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
7784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
51522,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Only for half an hour.,Only for half an hour.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
51522,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,2,We can't decide.,We can't decide.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
51522,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Would you like some help?,Would you like some help?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
51522,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,4,I'll just check for you.,I'll just check for you.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
51522,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,5,I'm too tired.,I'm too tired.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
51523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
98112,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,6,so,so,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
98112,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,7,once,once,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
98112,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,8,edge,edge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
98112,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,9,mean,mean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
98112,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,10,with,with,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
98112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
69447,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,11,giving,giving,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
69448,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,12,to eating,to eating,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
69448,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,13,No matter how,No matter how,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
69448,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,14,since,that,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
69448,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,15,ordered,ordered,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
69448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
65726,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,16,about,about,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
65726,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,17,almost,almost,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
65726,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,18,unfasten,unfasten,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
65726,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,19,opportunity,opportunity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
65726,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,20,little,little,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
65726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
225258,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,21,explained,explained,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
225258,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,22,shades,sides,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
225258,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,23,highly,highly,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
225258,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,24,regress,retrace,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
225258,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,25,region,vicinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
225270,,,,,spotlight_PROLIFIC,cambridge_general_english_summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,25,B2,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
225299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,304,79,894147.5,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,304,79,894202.600000143,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,304,79,894254.5,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,305,81,894295.2000000477,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,307,84,894346.5,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,308,85,894395.5,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,308,85,894457.2000000477,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,308,85,894503.4000000954,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,308,85,894550.100000143,,,,,,,,,,,,,,,,,,,,2026-08-25T07:42:43.908Z,,2026-08-25,2026-08-25,00:42:43,2026-08-25 00:42:43,2026-08-25T08:23:08.677Z,2424769,,,,,,2026-08-25,01:23:08,2026-08-25 01:23:08,2424769
