responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
47425,raw_position_sample,2,3,adv,19,2,2,3,118, Little ,741,438,788168.7999999523,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,424.65625,738,448.65625,784.5625,9,9,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47475,raw_position_sample,2,3,adv,19,2,2,3,118, Little ,753,434,788218.600000143,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,424.65625,738,448.65625,784.5625,9,9,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47525,raw_position_sample,2,3,adv,19,2,2,3,118, Little ,758,431,788268.7999999523,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,424.65625,738,448.65625,784.5625,9,9,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47575,raw_position_sample,2,3,adv,19,2,2,3,118, Little ,760,444,788319.4000000954,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,424.65625,738,448.65625,784.5625,9,9,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47600,hover_association,2,3,adv,19,2,2,3,118, Little ,739,439,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,416.65625,738,456.65625,784.5625,9,9,hover,217.80000019073486,217.80000019073486,0.47248322147651006,0.88359375,153,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47625,raw_position_sample,2,3,adv,19,2,2,3,133, canines ,760,469,788368.7999999523,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,464.65625,732.765625,488.65625,801.859375,10,10,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47675,raw_position_sample,2,3,adv,19,2,2,3,133, canines ,760,475,788418.600000143,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,464.65625,732.765625,488.65625,801.859375,10,10,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47725,raw_position_sample,2,3,adv,19,2,2,3,133, canines ,760,478,788468.7000000477,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,464.65625,732.765625,488.65625,801.859375,10,10,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47775,raw_position_sample,2,3,adv,19,2,2,3,133, canines ,760,483,788518.600000143,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,464.65625,732.765625,488.65625,801.859375,10,10,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
47825,raw_position_sample,2,3,adv,19,2,2,3,133, canines ,760,484,788568.600000143,61647de75314468d5cb57f93,61647de75314468d5cb57f93,advanced,2,61647de75314468d5cb57f93,61647de75314468d5cb57f93,spotlight_PROLIFIC,,27,United States,English,N/A,,English:100,100,English:100,100,English:100,100,15,2,Post-secondary,10,10,10,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,464.65625,732.765625,488.65625,801.859375,10,10,,,,,,,,,,,,2026-08-03T05:04:47.965Z,HUMZTLQJ,2026-08-02,2026-08-02,23:04:47,2026-08-02 23:04:47,,,,,,,,61647de75314468d5cb57f93,61647de75314468d5cb57f93,,,,
