responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
36358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,897,157,1342974.4000000004,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,901,157,1343024,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,905,157,1343073.8000000007,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,927,157,1343123.5,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,933,158,1343176.7000000011,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,939,159,1343227,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,950,159,1343275.3000000007,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,953,159,1343325.6000000015,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,3,adv,13,1,10,11,26, morning. ,964,159,1343374.8000000007,153.4127197265625,888.1503295898438,177.75230407714844,970.7038955688477,2,11,,,,,,,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
36782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,3,adv,13,1,10,11,26, morning. ,890,157,,145.58249282836914,888.1503486633301,185.58253479003906,970.7039070129395,2,11,hover,532.7999999988824,532.7999999988824,0.9793599809989594,0.3354373274030112,121,,,advanced,1,,,,,,2026-08-03T05:03:52.904Z,,2026-08-03,2026-08-03,00:03:52,2026-08-03 00:03:52,2026-08-03T06:15:53.314Z,4320410,,,,,,2026-08-03,01:15:53,2026-08-03 01:15:53,4320410
