responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1120,raw_position_sample,2,2,int,26,2,17,18,-1,999,682,396,250469,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1137,hover_association,2,2,int,26,2,17,18,72, London ,619,326,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.7444959347382988,0.648333740234375,87,300.066650390625,570.533332824707,340.066650390625,635.6333084106445,6,4,,,,,,,,,,,,,,,EmTest4,EmTest4
1169,hover_association,2,2,int,26,2,17,18,56, the ,577,276,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.4827969005181976,0.3983336254756213,87,260.06665802001953,562.5,300.066650390625,592.533332824707,5,4,,,,,,,,,,,,,,,EmTest4,EmTest4
1172,raw_position_sample,2,2,int,26,2,17,18,29, high-quality ,510,195,250522,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.06666564941406,486.48333740234375,210.06666564941406,583.5833282470703,3,3,,,,,,,,,,,,,,,EmTest4,EmTest4
1185,hover_association,2,2,int,26,2,17,18,29, high-quality ,510,195,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.24219012235949025,0.37333335876464846,87,180.06666564941406,486.4833450317383,220.06666564941406,583.5833206176758,3,3,,,,,,,,,,,,,,,EmTest4,EmTest4
1219,hover_association,2,2,int,26,2,17,18,16, The ,494,178,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.04209035056200996,0.6983333587646484,87,140.06666564941406,480.4833450317383,180.06666564941406,516.5166625976562,2,2,,,,,,,,,,,,,,,EmTest4,EmTest4
1223,raw_position_sample,2,2,int,26,2,17,18,15, position. ,469,159,250572,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,408.41668701171875,170.06666564941406,480.4833526611328,2,1,,,,,,,,,,,,,,,EmTest4,EmTest4
1273,raw_position_sample,2,2,int,26,2,17,18,15, position. ,460,146,250622,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,408.41668701171875,170.06666564941406,480.4833526611328,2,1,,,,,,,,,,,,,,,EmTest4,EmTest4
1303,hover_association,2,2,int,26,2,17,18,15, position. ,469,159,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,84,84,0.6880201517670961,0.048333358764648435,87,140.06666564941406,408.41668701171875,180.06666564941406,480.4833450317383,2,1,,,,,,,,,,,,,,,EmTest4,EmTest4
1323,raw_position_sample,2,2,int,26,2,17,18,1, Helena ,458,136,250673,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,470.4833526611328,1,1,,,,,,,,,,,,,,,EmTest4,EmTest4
1375,raw_position_sample,2,2,int,26,2,17,18,1, Helena ,456,135,250724,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,470.4833526611328,1,1,,,,,,,,,,,,,,,EmTest4,EmTest4
1425,raw_position_sample,2,2,int,26,2,17,18,1, Helena ,450,135,250774,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,470.4833526611328,1,1,,,,,,,,,,,,,,,EmTest4,EmTest4
