responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
443,raw_position_sample,2,1,ele,22,3,3,4,-1,999,722,380,105318,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
462,hover_association,2,1,ele,22,3,3,4,83, company. ,643,311,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.8003672377480304,0.273333740234375,95,300.066650390625,577.5833206176758,340.066650390625,659.316650390625,6,3,,,,,,,,,,,,,,,EmTest4,EmTest4
479,hover_association,2,1,ele,22,3,3,4,52, was ,582,254,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.769473246178931,0.8483335205714265,95,220.06666564941406,553.5166625976562,260.06665802001953,590.533332824707,4,5,,,,,,,,,,,,,,,EmTest4,EmTest4
493,raw_position_sample,2,1,ele,22,3,3,4,51, “I ,553,224,105370,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.06666564941406,537.5166625976562,250.06666564941406,553.5166625976562,4,4,,,,,,,,,,,,,,,EmTest4,EmTest4
495,hover_association,2,1,ele,22,3,3,4,51, “I ,553,224,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.9677085722487317,0.09833337752025176,95,220.06666564941406,537.5166702270508,260.06665802001953,553.5166625976562,4,4,,,,,,,,,,,,,,,EmTest4,EmTest4
513,hover_association,2,1,ele,22,3,3,4,2, loans ,464,130,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.40686763070678367,0.7483333587646485,95,100.06666564941406,444.45001220703125,140.06666564941406,492.50000762939453,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
530,hover_association,2,1,ele,22,3,3,4,1, The ,444,106,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.9886465652510675,0.14833335876464843,95,100.06666564941406,404.8133544921875,140.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,EmTest4,EmTest4
543,raw_position_sample,2,1,ele,22,3,3,4,-1,999,433,94,105420,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
594,raw_position_sample,2,1,ele,22,3,3,4,-1,999,418,83,105469,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
644,raw_position_sample,2,1,ele,22,3,3,4,-1,999,418,83,105520,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
694,raw_position_sample,2,1,ele,22,3,3,4,-1,999,418,83,105570,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
745,raw_position_sample,2,1,ele,22,3,3,4,-1,999,418,86,105621,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
799,raw_position_sample,2,1,ele,22,3,3,4,2, loans ,445,121,105675,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,492.50001525878906,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
848,raw_position_sample,2,1,ele,22,3,3,4,2, loans ,463,139,105725,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,492.50001525878906,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
862,hover_association,2,1,ele,22,3,3,4,2, loans ,445,121,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,65,65,0.3860559741975599,0.9733333587646484,95,100.06666564941406,444.45001220703125,140.06666564941406,492.50000762939453,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
895,hover_association,2,1,ele,22,3,3,4,16, situation ,471,142,,EmTest4,EmTest4,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.9100368296537733,0.07333335876464844,95,140.06666564941406,408.41668701171875,180.06666564941406,480.4833450317383,2,1,,,,,,,,,,,,,,,EmTest4,EmTest4
