responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1067,raw_position_sample,2,2,int,,,900,1,2, coastal ,450,130,84248,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
1117,raw_position_sample,2,2,int,,,900,1,2, coastal ,455,134,84299,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
1168,raw_position_sample,2,2,int,,,900,1,2, coastal ,470,134,84349,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
1209,hover_association,2,2,int,,,900,1,2, coastal ,448,128,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,251,251,0.9435937487896557,0.6233333587646485,19,100.06666564941406,444.45001220703125,140.06666564941406,506.50000762939453,1,2,,,,,,,,,,,,,,,EmTest4,EmTest4
1218,raw_position_sample,2,2,int,,,900,1,3, tram ,521,123,84400,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,506.5,130.06666564941406,547.5166625976562,1,3,,,,,,,,,,,,,,,EmTest4,EmTest4
1241,hover_association,2,2,int,,,900,1,3, tram ,521,123,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,32,32,0.8655018893684775,0.5483333587646484,19,100.06666564941406,506.50000762939453,140.06666564941406,547.5166625976562,1,3,,,,,,,,,,,,,,,EmTest4,EmTest4
1269,raw_position_sample,2,2,int,,,900,1,4, arrived ,580,124,84450,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,547.5166625976562,130.06666564941406,607.5666656494141,1,4,,,,,,,,,,,,,,,EmTest4,EmTest4
1291,hover_association,2,2,int,,,900,1,4, arrived ,557,122,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.7740772846925621,0.6483333587646485,19,100.06666564941406,547.5166625976562,140.06666564941406,607.5666580200195,1,4,,,,,,,,,,,,,,,EmTest4,EmTest4
1307,hover_association,2,2,int,,,900,1,5, at ,612,129,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.2214826596656608,0.7233333587646484,19,100.06666564941406,607.5666580200195,140.06666564941406,627.5833129882812,1,5,,,,,,,,,,,,,,,EmTest4,EmTest4
1319,raw_position_sample,2,2,int,,,900,1,6, the ,641,134,84501,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,627.5833129882812,130.06666564941406,657.6166534423828,1,6,,,,,,,,,,,,,,,EmTest4,EmTest4
1325,hover_association,2,2,int,,,900,1,6, the ,641,134,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.44672609120766926,0.8483333587646484,19,100.06666564941406,627.5833129882812,140.06666564941406,657.6166763305664,1,6,,,,,,,,,,,,,,,EmTest4,EmTest4
1358,hover_association,2,2,int,,,900,1,7, station ,661,135,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.5578520836323319,0.9483333587646484,19,100.06666564941406,657.6166763305664,140.06666564941406,715.6666946411133,1,7,,,,,,,,,,,,,,,EmTest4,EmTest4
1376,raw_position_sample,2,2,int,,,900,1,-1,999,749,143,84557,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1427,raw_position_sample,2,2,int,,,900,1,10, early. ,842,132,84608,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,816.7333374023438,130.06666564941406,864.4333343505859,1,10,,,,,,,,,,,,,,,EmTest4,EmTest4
1457,hover_association,2,2,int,,,900,1,10, early. ,842,132,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.9909152618929793,0.6483333587646485,19,100.06666564941406,816.7333450317383,140.06666564941406,864.4333419799805,1,10,,,,,,,,,,,,,,,EmTest4,EmTest4
1478,raw_position_sample,2,2,int,,,900,1,11, Commuters ,908,114,84659,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,EmTest4,EmTest4
1528,raw_position_sample,2,2,int,,,900,1,11, Commuters ,942,106,84709,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,EmTest4,EmTest4
1579,raw_position_sample,2,2,int,,,900,1,11, Commuters ,950,105,84760,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,EmTest4,EmTest4
1629,raw_position_sample,2,2,int,,,900,1,11, Commuters ,950,105,84810,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,EmTest4,EmTest4
1679,raw_position_sample,2,2,int,,,900,1,11, Commuters ,908,122,84861,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,864.433349609375,130.06666564941406,962.4833526611328,1,11,,,,,,,,,,,,,,,EmTest4,EmTest4
1691,hover_association,2,2,int,,,900,1,11, Commuters ,893,118,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,234,234,0.44433102156072274,0.5483333587646484,19,100.06666564941406,864.4333419799805,140.06666564941406,962.4833450317383,1,11,,,,,,,,,,,,,,,EmTest4,EmTest4
1730,raw_position_sample,2,2,int,,,900,1,-1,999,742,158,84912,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1780,raw_position_sample,2,2,int,,,900,1,19, raised. ,606,156,84962,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,602.566650390625,170.06666564941406,656.6166534423828,2,6,,,,,,,,,,,,,,,EmTest4,EmTest4
1791,hover_association,2,2,int,,,900,1,19, raised. ,644,158,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.05955162134772967,0.3983333587646484,19,140.06666564941406,602.566650390625,180.06666564941406,660.2199859619141,2,6,,,,,,,,,,,,,,,EmTest4,EmTest4
1825,hover_association,2,2,int,,,900,1,18, collars ,582,155,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,35,35,0.11338402623727656,0.37333335876464846,19,140.06666564941406,545.533332824707,180.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,EmTest4,EmTest4
1831,raw_position_sample,2,2,int,,,900,1,17, their ,539,155,85012,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,505.5,170.06666564941406,545.5333404541016,2,4,,,,,,,,,,,,,,,EmTest4,EmTest4
1881,raw_position_sample,2,2,int,,,900,1,17, their ,506,162,85063,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,505.5,170.06666564941406,545.5333404541016,2,4,,,,,,,,,,,,,,,EmTest4,EmTest4
1891,hover_association,2,2,int,,,900,1,17, their ,539,155,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,66,66,0.012489592165342258,0.5483333587646484,19,140.06666564941406,505.5,180.06666564941406,545.533332824707,2,4,,,,,,,,,,,,,,,EmTest4,EmTest4
1932,raw_position_sample,2,2,int,,,900,1,16, with ,481,163,85114,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,468.48333740234375,170.06666564941406,505.5,2,3,,,,,,,,,,,,,,,EmTest4,EmTest4
1982,raw_position_sample,2,2,int,,,900,1,16, with ,469,161,85164,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,468.48333740234375,170.06666564941406,505.5,2,3,,,,,,,,,,,,,,,EmTest4,EmTest4
1991,hover_association,2,2,int,,,900,1,16, with ,498,163,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,99,99,0.013957365102403271,0.5233333587646485,19,140.06666564941406,468.4833450317383,180.06666564941406,505.5,2,3,,,,,,,,,,,,,,,EmTest4,EmTest4
2032,raw_position_sample,2,2,int,,,900,1,15, fog ,453,162,85214,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,438.45001220703125,170.06666564941406,468.4833526611328,2,2,,,,,,,,,,,,,,,EmTest4,EmTest4
2083,raw_position_sample,2,2,int,,,900,1,15, fog ,448,163,85265,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,438.45001220703125,170.06666564941406,468.4833526611328,2,2,,,,,,,,,,,,,,,EmTest4,EmTest4
2124,hover_association,2,2,int,,,900,1,15, fog ,465,160,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,134,134,0.5510539869006427,0.5983333587646484,19,140.06666564941406,438.45001220703125,180.06666564941406,468.4833450317383,2,2,,,,,,,,,,,,,,,EmTest4,EmTest4
2133,raw_position_sample,2,2,int,,,900,1,16, with ,471,166,85314,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,468.48333740234375,170.06666564941406,505.5,2,3,,,,,,,,,,,,,,,EmTest4,EmTest4
2157,hover_association,2,2,int,,,900,1,16, with ,471,166,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.6893290328404832,0.7233333587646484,19,140.06666564941406,468.4833450317383,180.06666564941406,505.5,2,3,,,,,,,,,,,,,,,EmTest4,EmTest4
2174,hover_association,2,2,int,,,900,1,17, their ,522,172,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.41215654145629455,0.7983333587646484,19,140.06666564941406,505.5,180.06666564941406,545.533332824707,2,4,,,,,,,,,,,,,,,EmTest4,EmTest4
2183,raw_position_sample,2,2,int,,,900,1,-1,999,578,182,85364,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2234,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85415,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2285,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85466,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2335,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85517,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2385,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85566,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2435,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85617,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2486,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85668,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2537,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85718,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2587,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85768,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2637,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85818,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2687,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85869,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2738,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85920,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2789,raw_position_sample,2,2,int,,,900,1,-1,999,612,191,85971,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
4810,,,,int,,,900,,,,,,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1,,,,,,,,,,,,,EmTest4,EmTest4
