responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1523,raw_position_sample,2,2,int,,,900,1,-1,999,334,98,104785,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1572,raw_position_sample,2,2,int,,,900,1,-1,999,358,106,104835,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1622,raw_position_sample,2,2,int,,,900,1,-1,999,378,112,104885,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1672,raw_position_sample,2,2,int,,,900,1,-1,999,388,114,104935,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1723,raw_position_sample,2,2,int,,,900,1,-1,999,395,116,104986,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1774,raw_position_sample,2,2,int,,,900,1,1, The ,408,118,105037,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1824,raw_position_sample,2,2,int,,,900,1,1, The ,435,121,105087,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1837,hover_association,2,2,int,,,900,1,1, The ,408,118,,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,404.8133544921875,140.06666564941406,444.45001220703125,1,1,hover,66,66,0.7615840297378993,0.5233333587646485,19,,,,,,,,,,,,,,,EmTest4,EmTest4
1875,raw_position_sample,2,2,int,,,900,1,2, coastal ,475,124,105137,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1926,raw_position_sample,2,2,int,,,900,1,2, coastal ,491,127,105188,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1976,raw_position_sample,2,2,int,,,900,1,2, coastal ,491,127,105238,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2026,raw_position_sample,2,2,int,,,900,1,2, coastal ,491,127,105289,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2076,raw_position_sample,2,2,int,,,900,1,2, coastal ,491,127,105339,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2127,raw_position_sample,2,2,int,,,900,1,2, coastal ,491,127,105390,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
2177,raw_position_sample,2,2,int,,,900,1,2, coastal ,491,127,105440,EmTest4,EmTest4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
