responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
5345,hover_association,2,2,int,26,4,20,21,45, Europe.” ,617,250,,EmTest3,EmTest3,220.06666564941406,566.5499954223633,260.06665802001953,640.6166763305664,4,4,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.6811430451455429,0.7483335014979365,128,,,,,,,,,,,,,,,EmTest3,EmTest3
5366,raw_position_sample,2,2,int,26,4,20,21,46, According ,677,250,429251,EmTest3,EmTest3,230.06666564941406,640.61669921875,250.06666564941406,725.6833648681641,4,5,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5411,hover_association,2,2,int,26,4,20,21,46, According ,650,250,,EmTest3,EmTest3,220.06666564941406,640.6166763305664,260.06665802001953,725.6833572387695,4,5,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,67,67,0.9919668049643673,0.6483334824244465,128,,,,,,,,,,,,,,,EmTest3,EmTest3
5417,raw_position_sample,2,2,int,26,4,20,21,47, to ,742,243,429301,EmTest3,EmTest3,230.06666564941406,725.683349609375,250.06666564941406,745.7000122070312,4,6,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5445,hover_association,2,2,int,26,4,20,21,47, to ,742,243,,EmTest3,EmTest3,220.06666564941406,725.6833572387695,260.06665802001953,745.7000122070312,4,6,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.9150701148754985,0.5483334633509566,128,,,,,,,,,,,,,,,EmTest3,EmTest3
5468,raw_position_sample,2,2,int,26,4,20,21,48, the ,746,242,429352,EmTest3,EmTest3,230.06666564941406,745.7000122070312,250.06666564941406,775.7333526611328,4,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5518,raw_position_sample,2,2,int,26,4,20,21,48, the ,746,242,429403,EmTest3,EmTest3,230.06666564941406,745.7000122070312,250.06666564941406,775.7333526611328,4,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5569,raw_position_sample,2,2,int,26,4,20,21,48, the ,746,242,429453,EmTest3,EmTest3,230.06666564941406,745.7000122070312,250.06666564941406,775.7333526611328,4,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5620,raw_position_sample,2,2,int,26,4,20,21,48, the ,746,242,429503,EmTest3,EmTest3,230.06666564941406,745.7000122070312,250.06666564941406,775.7333526611328,4,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
5670,raw_position_sample,2,2,int,26,4,20,21,48, the ,746,242,429554,EmTest3,EmTest3,230.06666564941406,745.7000122070312,250.06666564941406,775.7333526611328,4,7,intermediate,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
