responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
957,hover_association,2,1,ele,6,5,16,17,100, also ,746,409,hover,12,12,0.0854511761439681,0.723333740234375,127,EmTest3,EmTest3,,,380.066650390625,742.7500076293945,420.066650390625,780.783332824707,8,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
961,raw_position_sample,2,1,ele,6,5,16,17,99, has ,734,405,,,,,,,EmTest3,EmTest3,,,390.066650390625,708.7166748046875,410.066650390625,742.7500152587891,8,5,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372772,,,,,,,,,,,,,,,EmTest3,EmTest3
970,hover_association,2,1,ele,6,5,16,17,99, has ,734,405,hover,12,12,0.7428988328592796,0.623333740234375,127,EmTest3,EmTest3,,,380.066650390625,708.716682434082,420.066650390625,742.7500076293945,8,5,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
986,hover_association,2,1,ele,6,5,16,17,98, Technology ,702,392,hover,16,16,0.9301073672477497,0.298333740234375,127,EmTest3,EmTest3,,,380.066650390625,612.6166763305664,420.066650390625,708.716682434082,8,4,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1003,hover_association,2,1,ele,6,5,16,17,88, programmes ,669,374,hover,17,17,0.6636293410858037,0.848333740234375,127,EmTest3,EmTest3,,,340.066650390625,598.5999755859375,380.066650390625,704.6833267211914,7,5,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1011,raw_position_sample,2,1,ele,6,5,16,17,71, world. ,607,339,,,,,,,EmTest3,EmTest3,,,310.066650390625,601.566650390625,330.066650390625,654.5999908447266,6,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372822,,,,,,,,,,,,,,,EmTest3,EmTest3
1019,hover_association,2,1,ele,6,5,16,17,71, world. ,607,339,hover,16,16,0.1024515963824873,0.973333740234375,127,EmTest3,EmTest3,,,300.066650390625,601.566650390625,340.066650390625,654.599983215332,6,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1036,hover_association,2,1,ele,6,5,16,17,69, in ,569,307,hover,17,17,0.8667835749129507,0.173333740234375,127,EmTest3,EmTest3,,,300.066650390625,552.5166625976562,340.066650390625,571.533332824707,6,4,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1061,raw_position_sample,2,1,ele,6,5,16,17,40, local ,529,255,,,,,,,EmTest3,EmTest3,,,230.06666564941406,494.5,250.06666564941406,536.5333404541016,4,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372873,,,,,,,,,,,,,,,EmTest3,EmTest3
1070,hover_association,2,1,ele,6,5,16,17,40, local ,529,255,hover,34,34,0.8207771709151989,0.873333525339799,127,EmTest3,EmTest3,,,220.06666564941406,494.5,260.06665802001953,536.533332824707,4,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
