responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1144,hover_association,2,2,int,4,3,23,24,86, brothers ,734,380,hover,17,17,0.34263600295141533,0.998333740234375,139,EmTest3,EmTest3,,,340.066650390625,709.6499938964844,380.066650390625,780.716682434082,7,7,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1153,raw_position_sample,2,2,int,4,3,23,24,74, these ,680,338,,,,,,,EmTest3,EmTest3,,,310.066650390625,669.61669921875,330.066650390625,718.6667022705078,6,9,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463398,,,,,,,,,,,,,,,EmTest3,EmTest3
1156,hover_association,2,2,int,4,3,23,24,74, these ,680,338,hover,12,12,0.2116885995441031,0.948333740234375,139,EmTest3,EmTest3,,,300.066650390625,669.6166687011719,340.066650390625,718.6666946411133,6,9,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1188,hover_association,2,2,int,4,3,23,24,72, lots ,649,313,hover,33,33,0.9818278702483917,0.323333740234375,139,EmTest3,EmTest3,,,300.066650390625,616.5833129882812,340.066650390625,649.599983215332,6,7,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1201,hover_association,2,2,int,4,3,23,24,36, al-Mamun. ,484,186,hover,12,12,0.10416236871080191,0.09888890584309896,139,EmTest3,EmTest3,,,180.06666564941406,449.96668243408203,240.06666564941406,776.7000122070312,3,2,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1204,raw_position_sample,2,2,int,4,3,23,24,14, offers ,446,150,,,,,,,EmTest3,EmTest3,,,150.06666564941406,408.41668701171875,170.06666564941406,458.1333465576172,2,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463448,,,,,,,,,,,,,,,EmTest3,EmTest3
1217,hover_association,2,2,int,4,3,23,24,14, offers ,446,150,hover,17,17,0.7559502005766627,0.24833335876464843,139,EmTest3,EmTest3,,,140.06666564941406,408.41668701171875,180.06666564941406,458.13333892822266,2,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1254,raw_position_sample,2,2,int,4,3,23,24,1, SOHAY ,412,117,,,,,,,EmTest3,EmTest3,,,110.06666564941406,408.41668701171875,130.06666564941406,475.0833435058594,1,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463498,,,,,,,,,,,,,,,EmTest3,EmTest3
1304,raw_position_sample,2,2,int,4,3,23,24,1, SOHAY ,411,115,,,,,,,EmTest3,EmTest3,,,110.06666564941406,408.41668701171875,130.06666564941406,475.0833435058594,1,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463549,,,,,,,,,,,,,,,EmTest3,EmTest3
1355,raw_position_sample,2,2,int,4,3,23,24,1, SOHAY ,410,115,,,,,,,EmTest3,EmTest3,,,110.06666564941406,408.41668701171875,130.06666564941406,475.0833435058594,1,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463598,,,,,,,,,,,,,,,EmTest3,EmTest3
1405,raw_position_sample,2,2,int,4,3,23,24,1, SOHAY ,408,114,,,,,,,EmTest3,EmTest3,,,110.06666564941406,408.41668701171875,130.06666564941406,475.0833435058594,1,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463649,,,,,,,,,,,,,,,EmTest3,EmTest3
1455,raw_position_sample,2,2,int,4,3,23,24,1, SOHAY ,410,114,,,,,,,EmTest3,EmTest3,,,110.06666564941406,408.41668701171875,130.06666564941406,475.0833435058594,1,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463700,,,,,,,,,,,,,,,EmTest3,EmTest3
1506,raw_position_sample,2,2,int,4,3,23,24,1, SOHAY ,442,123,,,,,,,EmTest3,EmTest3,,,110.06666564941406,408.41668701171875,130.06666564941406,475.0833435058594,1,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463750,,,,,,,,,,,,,,,EmTest3,EmTest3
1534,hover_association,2,2,int,4,3,23,24,1, SOHAY ,421,127,hover,317,317,0.8448333477172904,0.6733333587646484,139,EmTest3,EmTest3,,,100.06666564941406,403.654782976423,140.06666564941406,475.0833282470703,1,1,intermediate,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
