responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
929,raw_position_sample,2,2,int,,,900,1,15, fog ,455,170,194626,EmTest3,EmTest3,150.06666564941406,438.45001220703125,170.06666564941406,468.4833526611328,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
979,hover_association,2,2,int,,,900,1,15, fog ,455,170,,EmTest3,EmTest3,140.06666564941406,438.45001220703125,180.06666564941406,468.4833450317383,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,62,62,0.3845722970667814,0.4483333587646484,19,,,,,,,,,,,,,,,EmTest3,EmTest3
983,raw_position_sample,2,2,int,,,900,1,1, The ,432,129,194678,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1032,raw_position_sample,2,2,int,,,900,1,1, The ,422,114,194729,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1083,raw_position_sample,2,2,int,,,900,1,1, The ,422,112,194779,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1133,raw_position_sample,2,2,int,,,900,1,1, The ,420,110,194829,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1184,raw_position_sample,2,2,int,,,900,1,1, The ,414,106,194881,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1235,raw_position_sample,2,2,int,,,900,1,1, The ,414,106,194931,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1286,raw_position_sample,2,2,int,,,900,1,1, The ,419,106,194982,EmTest3,EmTest3,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1322,hover_association,2,2,int,,,900,1,1, The ,432,129,,EmTest3,EmTest3,100.06666564941406,404.8133544921875,140.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,343,343,0.8120423709630479,0.12333335876464843,19,,,,,,,,,,,,,,,EmTest3,EmTest3
1335,raw_position_sample,2,2,int,,,900,1,2, coastal ,450,105,195032,EmTest3,EmTest3,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1386,raw_position_sample,2,2,int,,,900,1,2, coastal ,475,105,195082,EmTest3,EmTest3,110.06666564941406,444.45001220703125,130.06666564941406,506.50001525878906,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest3,EmTest3
1422,hover_association,2,2,int,,,900,1,2, coastal ,450,105,,EmTest3,EmTest3,100.06666564941406,444.45001220703125,140.06666564941406,506.50000762939453,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,101,101,0.9435937487896557,0.14833335876464843,19,,,,,,,,,,,,,,,EmTest3,EmTest3
