responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
22053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,46, is ,863,267,749229.2000000477,243.03125,853.21875,263.03125,871.21875,4,6,,,,,,,,,intermediate,3,,,,,,,,,,,,
22105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,46, is ,864,267,749280.4000000954,243.03125,853.21875,263.03125,871.21875,4,6,,,,,,,,,intermediate,3,,,,,,,,,,,,
22153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,46, is ,864,267,749328.9000000954,243.03125,853.21875,263.03125,871.21875,4,6,,,,,,,,,intermediate,3,,,,,,,,,,,,
22199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,46, is ,864,267,749375.100000143,243.03125,853.21875,263.03125,871.21875,4,6,,,,,,,,,intermediate,3,,,,,,,,,,,,
22261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,46, is ,864,267,749436.5,243.03125,853.21875,263.03125,871.21875,4,6,,,,,,,,,intermediate,3,,,,,,,,,,,,
22303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,46, is ,864,267,749478.2000000477,243.03125,853.21875,263.03125,871.21875,4,6,,,,,,,,,intermediate,3,,,,,,,,,,,,
22312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,46, is ,856,265,,233.03125,853.21875,273.03125,871.21875,4,6,hover,309.7999999523163,309.7999999523163,0.9322916666666666,0.79921875,113,,,intermediate,3,,,,,,,,,,,,
22347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,47, partly ,913,260,749522.7000000477,243.03125,871.21875,263.03125,920.25,4,7,,,,,,,,,intermediate,3,,,,,,,,,,,,
22360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,47, partly ,880,263,,233.03125,871.21875,273.03125,920.25,4,7,hover,48.200000047683716,48.200000047683716,0.9541108986615678,0.67421875,113,,,intermediate,3,,,,,,,,,,,,
22400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,48, to ,932,260,749576.100000143,243.03125,920.25,263.03125,940.265625,4,8,,,,,,,,,intermediate,3,,,,,,,,,,,,
22447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,48, to ,937,261,749623,243.03125,920.25,263.03125,940.265625,4,8,,,,,,,,,intermediate,3,,,,,,,,,,,,
22510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,48, to ,937,261,749686.100000143,243.03125,920.25,263.03125,940.265625,4,8,,,,,,,,,intermediate,3,,,,,,,,,,,,
22558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,48, to ,937,261,749733.2000000477,243.03125,920.25,263.03125,940.265625,4,8,,,,,,,,,intermediate,3,,,,,,,,,,,,
22605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,48, to ,937,261,749780.5,243.03125,920.25,263.03125,940.265625,4,8,,,,,,,,,intermediate,3,,,,,,,,,,,,
22652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,48, to ,937,261,749827.8000001907,243.03125,920.25,263.03125,940.265625,4,8,,,,,,,,,intermediate,3,,,,,,,,,,,,
22698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,48, to ,937,261,749873.2000000477,243.03125,920.25,263.03125,940.265625,4,8,,,,,,,,,intermediate,3,,,,,,,,,,,,
22734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,48, to ,922,260,,233.03125,920.25,273.03125,940.265625,4,8,hover,373.2999999523163,373.2999999523163,0.8368462138953943,0.69921875,113,,,intermediate,3,,,,,,,,,,,,
22749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,950,260,749924.600000143,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
22797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,976,260,749972.5,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
22846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,987,259,750022,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
22899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,990,259,750074.2000000477,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
22963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,990,259,750138.2000000477,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
23010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,990,259,750185.8000001907,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
23057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,990,259,750232.4000000954,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
23103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,990,259,750279.100000143,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
23148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,990,259,750323.5,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
23149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,49, blame ,942,261,,233.03125,940.265625,273.03125,994.296875,4,9,hover,415.40000009536743,415.40000009536743,0.9204742625795257,0.64921875,113,,,intermediate,3,,,,,,,,,,,,
23177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,50, for ,995,259,,233.03125,994.296875,273.03125,1020.3125,4,10,hover,28.399999856948853,28.399999856948853,0.987987987987988,0.64921875,113,,,intermediate,3,,,,,,,,,,,,
23199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1039,261,750374.600000143,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1069,263,750422.600000143,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1078,263,750477.600000143,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1078,263,750527.2000000477,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1078,263,750574.3000001907,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1078,263,750636.9000000954,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1078,263,750683.7000000477,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,51, making ,1078,263,750729.4000000954,243.03125,1020.3125,263.03125,1083.34375,4,11,,,,,,,,,intermediate,3,,,,,,,,,,,,
23569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,51, making ,1026,260,,233.03125,1020.3125,273.03125,1083.34375,4,11,hover,391.40000009536743,391.40000009536743,0.9786812097174021,0.74921875,113,,,intermediate,3,,,,,,,,,,,,
23597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,52, the ,1109,259,750772.8000001907,243.03125,1083.34375,263.03125,1113.375,4,12,,,,,,,,,intermediate,3,,,,,,,,,,,,
23611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,52, the ,1088,263,,233.03125,1083.34375,273.03125,1113.375,4,12,hover,42.5,42.5,0.9875130072840791,0.64921875,113,,,intermediate,3,,,,,,,,,,,,
23647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,53, rich ,1126,256,750822.7000000477,243.03125,1113.375,263.03125,1147.390625,4,13,,,,,,,,,intermediate,3,,,,,,,,,,,,
23698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,53, rich ,1134,255,750873.5,243.03125,1113.375,263.03125,1147.390625,4,13,,,,,,,,,intermediate,3,,,,,,,,,,,,
23748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,53, rich ,1140,253,750923.3000001907,243.03125,1113.375,263.03125,1147.390625,4,13,,,,,,,,,intermediate,3,,,,,,,,,,,,
23764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,53, rich ,1117,259,,233.03125,1113.375,273.03125,1147.390625,4,13,hover,153.40000009536743,153.40000009536743,0.9591180523656407,0.47421875,113,,,intermediate,3,,,,,,,,,,,,
23796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,54, “feel ,1155,250,750972.100000143,243.03125,1147.390625,263.03125,1187.421875,4,14,,,,,,,,,intermediate,3,,,,,,,,,,,,
23848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,54, “feel ,1158,250,751024.100000143,243.03125,1147.390625,263.03125,1187.421875,4,14,,,,,,,,,intermediate,3,,,,,,,,,,,,
23898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,54, “feel ,1173,250,751074.100000143,243.03125,1147.390625,263.03125,1187.421875,4,14,,,,,,,,,intermediate,3,,,,,,,,,,,,
23918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,54, “feel ,1149,251,,233.03125,1147.390625,273.03125,1187.421875,4,14,hover,153.59999990463257,153.59999990463257,0.8895394223263076,0.47421875,113,,,intermediate,3,,,,,,,,,,,,
23946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,55, like ,1204,255,751122.100000143,243.03125,1187.421875,263.03125,1219.4375,4,15,,,,,,,,,intermediate,3,,,,,,,,,,,,
23968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,55, like ,1189,253,,233.03125,1187.421875,273.03125,1219.4375,4,15,hover,49.90000009536743,49.90000009536743,0.9863347974621767,0.62421875,113,,,intermediate,3,,,,,,,,,,,,
23997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,56, they ,1232,259,751172.3000001907,243.03125,1219.4375,263.03125,1253.46875,4,16,,,,,,,,,intermediate,3,,,,,,,,,,,,
24048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,56, they ,1243,258,751223.8000001907,243.03125,1219.4375,263.03125,1253.46875,4,16,,,,,,,,,intermediate,3,,,,,,,,,,,,
24097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,56, they ,1244,258,751273,243.03125,1219.4375,263.03125,1253.46875,4,16,,,,,,,,,intermediate,3,,,,,,,,,,,,
24158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,56, they ,1244,258,751334.100000143,243.03125,1219.4375,263.03125,1253.46875,4,16,,,,,,,,,intermediate,3,,,,,,,,,,,,
24196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,56, they ,1229,254,751372.2000000477,243.03125,1219.4375,263.03125,1253.46875,4,16,,,,,,,,,intermediate,3,,,,,,,,,,,,
24209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,56, they ,1222,259,,233.03125,1219.4375,273.03125,1253.46875,4,16,hover,241.39999985694885,241.39999985694885,0.2809917355371901,0.52421875,113,,,intermediate,3,,,,,,,,,,,,
24223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,54, “feel ,1181,249,,233.03125,1147.390625,273.03125,1187.421875,4,14,hover,14.100000143051147,14.100000143051147,0.01522248243559719,0.39921875,113,,,intermediate,3,,,,,,,,,,,,
24230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,52, the ,1107,249,,233.03125,1083.34375,273.03125,1113.375,4,12,hover,7,7,0.7877211238293444,0.39921875,113,,,intermediate,3,,,,,,,,,,,,
24237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,51, making ,1058,253,,233.03125,1020.3125,273.03125,1083.34375,4,11,hover,7,7,0.5979176995537928,0.49921875,113,,,intermediate,3,,,,,,,,,,,,
24244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,50, for ,1016,259,,233.03125,994.296875,273.03125,1020.3125,4,10,hover,7,7,0.8342342342342343,0.64921875,113,,,intermediate,3,,,,,,,,,,,,
24250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,49, blame ,960,267,751425.600000143,243.03125,940.265625,263.03125,994.296875,4,9,,,,,,,,,intermediate,3,,,,,,,,,,,,
24252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,49, blame ,960,267,,233.03125,940.265625,273.03125,994.296875,4,9,hover,7.199999809265137,7.199999809265137,0.36524002313475995,0.84921875,113,,,intermediate,3,,,,,,,,,,,,
24259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,48, to ,929,272,,233.03125,920.25,273.03125,940.265625,4,8,hover,7.300000190734863,7.300000190734863,0.4371584699453552,0.97421875,113,,,intermediate,3,,,,,,,,,,,,
24266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,63, Traeger-Muney ,884,277,,273.03125,870.25,313.03125,997.640625,5,7,hover,7.299999952316284,7.299999952316284,0.10793572917944315,0.09921875,113,,,intermediate,3,,,,,,,,,,,,
24296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,62, ashamed”. ,783,282,751472,283.03125,780.53125,303.03125,870.25,5,6,,,,,,,,,intermediate,3,,,,,,,,,,,,
24303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,62, ashamed”. ,858,280,,273.03125,780.53125,313.03125,870.25,5,6,hover,36.59999990463257,36.59999990463257,0.027516544757924068,0.22421875,113,,,intermediate,3,,,,,,,,,,,,
24325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,61, feel ,772,281,,273.03125,746.5,313.03125,780.53125,5,5,hover,21.90000009536743,21.90000009536743,0.2497704315886134,0.07421875,113,,,intermediate,3,,,,,,,,,,,,
24346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,60, or ,738,274,751521.9000000954,283.03125,725.484375,303.03125,746.5,5,4,,,,,,,,,intermediate,3,,,,,,,,,,,,
24347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,60, or ,746,275,,273.03125,725.484375,313.03125,746.5,5,4,hover,22.399999856948853,22.399999856948853,0.5955390334572491,0.02421875,113,,,intermediate,3,,,,,,,,,,,,
24376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,43," media, ",734,272,,233.03125,717.125,273.03125,776.15625,4,3,hover,28.600000143051147,28.600000143051147,0.09952355743779778,0.92421875,113,,,intermediate,3,,,,,,,,,,,,
24396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,42, The ,706,269,751572,243.03125,681.09375,263.03125,717.125,4,2,,,,,,,,,intermediate,3,,,,,,,,,,,,
24455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,42, The ,691,269,751630.2000000477,243.03125,681.09375,263.03125,717.125,4,2,,,,,,,,,intermediate,3,,,,,,,,,,,,
24485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,42, The ,717,269,,233.03125,681.09375,273.03125,717.125,4,2,hover,109,109,0.08065915004336513,0.92421875,113,,,intermediate,3,,,,,,,,,,,,
24499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,41, Group. ,678,273,751674.600000143,243.03125,621.375,263.03125,681.09375,4,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,41, Group. ,681,271,,233.03125,621.375,273.03125,681.09375,4,1,hover,15,15,0.9481946624803768,0.99921875,113,,,intermediate,3,,,,,,,,,,,,
24521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,58, to ,675,274,,273.03125,666.421875,313.03125,686.4375,5,2,hover,21.399999856948853,21.399999856948853,0.07884465261514442,0.04921875,113,,,intermediate,3,,,,,,,,,,,,
24548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,655,279,751723.4000000954,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,639,284,751772.7000000477,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,632,287,751835,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,628,287,751880.2000000477,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,628,288,751922.8000001907,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,628,288,751974.2000000477,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,628,289,752022.7000000477,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,628,289,752084.4000000954,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,634,289,752127,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
24999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,649,292,752175.100000143,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
25047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,57, need ,660,292,752223,283.03125,621.375,303.03125,666.421875,5,1,,,,,,,,,intermediate,3,,,,,,,,,,,,
25082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,57, need ,663,276,,273.03125,621.375,313.03125,666.421875,5,1,hover,561,561,0.9906347554630593,0.47421875,113,,,intermediate,3,,,,,,,,,,,,
25097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,58, to ,671,292,752272.5,283.03125,666.421875,303.03125,686.4375,5,2,,,,,,,,,intermediate,3,,,,,,,,,,,,
25147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,58, to ,682,292,752322.600000143,283.03125,666.421875,303.03125,686.4375,5,2,,,,,,,,,intermediate,3,,,,,,,,,,,,
25147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,27,3,3,4,58, to ,668,292,,273.03125,666.421875,313.03125,686.4375,5,2,hover,65.40000009536743,65.40000009536743,0.7782982045277127,0.47421875,113,,,intermediate,3,,,,,,,,,,,,
25198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,59, hide ,699,293,752373.7000000477,283.03125,686.4375,303.03125,725.484375,5,3,,,,,,,,,intermediate,3,,,,,,,,,,,,
25248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,27,3,3,4,59, hide ,705,294,752423.9000000954,283.03125,686.4375,303.03125,725.484375,5,3,,,,,,,,,intermediate,3,,,,,,,,,,,,
