responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1611,raw_position_sample,2,2,int,24,6,22,23,-1,999,377,110,,,,,,,Emtest2,Emtest2,,,,,,,,,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330634,,,,,,,,,,,,,,,Emtest2,Emtest2
1661,raw_position_sample,2,2,int,24,6,22,23,-1,999,404,120,,,,,,,Emtest2,Emtest2,,,,,,,,,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330685,,,,,,,,,,,,,,,Emtest2,Emtest2
1711,raw_position_sample,2,2,int,24,6,22,23,1, Lemnos ,458,127,,,,,,,Emtest2,Emtest2,,,110.06666564941406,408.41668701171875,130.06666564941406,477.4833526611328,1,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330736,,,,,,,,,,,,,,,Emtest2,Emtest2
1733,hover_association,2,2,int,24,6,22,23,1, Lemnos ,414,122,hover,66,66,0.9797863473840052,0.7483333587646485,109,Emtest2,Emtest2,,,100.06666564941406,404.10002040863037,140.06666564941406,477.4833450317383,1,1,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1761,raw_position_sample,2,2,int,24,6,22,23,2, has ,502,132,,,,,,,Emtest2,Emtest2,,,110.06666564941406,477.48333740234375,130.06666564941406,511.51666259765625,1,2,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330786,,,,,,,,,,,,,,,Emtest2,Emtest2
1766,hover_association,2,2,int,24,6,22,23,2, has ,494,132,hover,33,33,0.7203721741430658,0.7983333587646484,109,Emtest2,Emtest2,,,100.06666564941406,477.4833450317383,140.06666564941406,511.51666259765625,1,2,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1812,raw_position_sample,2,2,int,24,6,22,23,3, dozens ,550,132,,,,,,,Emtest2,Emtest2,,,110.06666564941406,511.51666259765625,130.06666564941406,574.5833282470703,1,3,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330836,,,,,,,,,,,,,,,Emtest2,Emtest2
1833,hover_association,2,2,int,24,6,22,23,3, dozens ,512,133,hover,66,66,0.8956132951331272,0.7983333587646484,109,Emtest2,Emtest2,,,100.06666564941406,511.51666259765625,140.06666564941406,574.5833206176758,1,3,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1850,hover_association,2,2,int,24,6,22,23,4, of ,589,132,hover,17,17,0.7202339207142487,0.7983333587646484,109,Emtest2,Emtest2,,,100.06666564941406,574.5833206176758,140.06666564941406,594.599983215332,1,4,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1862,raw_position_sample,2,2,int,24,6,22,23,5, wild ,601,133,,,,,,,Emtest2,Emtest2,,,110.06666564941406,594.5999755859375,130.06666564941406,630.6166381835938,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330887,,,,,,,,,,,,,,,Emtest2,Emtest2
1913,raw_position_sample,2,2,int,24,6,22,23,5, wild ,612,135,,,,,,,Emtest2,Emtest2,,,110.06666564941406,594.5999755859375,130.06666564941406,630.6166381835938,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330937,,,,,,,,,,,,,,,Emtest2,Emtest2
1963,raw_position_sample,2,2,int,24,6,22,23,5, wild ,612,135,,,,,,,Emtest2,Emtest2,,,110.06666564941406,594.5999755859375,130.06666564941406,630.6166381835938,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330987,,,,,,,,,,,,,,,Emtest2,Emtest2
2014,raw_position_sample,2,2,int,24,6,22,23,5, wild ,612,135,,,,,,,Emtest2,Emtest2,,,110.06666564941406,594.5999755859375,130.06666564941406,630.6166381835938,1,5,intermediate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331038,,,,,,,,,,,,,,,Emtest2,Emtest2
