responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1451,raw_position_sample,2,2,int,,,900,1,12, stepped ,986,118,104027,Emtest2,Emtest2,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1502,raw_position_sample,2,2,int,,,900,1,12, stepped ,969,118,104078,Emtest2,Emtest2,110.06666564941406,962.4833374023438,130.06666564941406,1031.566665649414,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1503,hover_association,2,2,int,,,900,1,12, stepped ,966,110,,Emtest2,Emtest2,100.06666564941406,962.4833450317383,140.06666564941406,1031.5666580200195,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,134,134,0.09433037713994917,0.4483333587646484,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1520,hover_association,2,2,int,,,900,1,11, Commuters ,936,118,,Emtest2,Emtest2,100.06666564941406,864.4333419799805,140.06666564941406,962.4833450317383,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.7298996001279218,0.4483333587646484,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1552,raw_position_sample,2,2,int,,,900,1,10, early. ,832,123,104128,Emtest2,Emtest2,110.06666564941406,816.7333374023438,130.06666564941406,864.4333343505859,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1554,hover_association,2,2,int,,,900,1,10, early. ,863,122,,Emtest2,Emtest2,100.06666564941406,816.7333450317383,140.06666564941406,864.4333419799805,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,35,35,0.3200556801885564,0.5733333587646484,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1571,hover_association,2,2,int,,,900,1,8, two ,736,126,,Emtest2,Emtest2,100.06666564941406,715.6666946411133,140.06666564941406,748.683349609375,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.6158499514391369,0.6483333587646485,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1586,hover_association,2,2,int,,,900,1,7, station ,672,130,,Emtest2,Emtest2,100.06666564941406,657.6166763305664,140.06666564941406,715.6666946411133,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,15,15,0.2477746620593287,0.7483333587646485,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1603,hover_association,2,2,int,,,900,1,4, arrived ,596,138,,Emtest2,Emtest2,100.06666564941406,547.5166625976562,140.06666564941406,607.5666580200195,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.8073828659158901,0.9483333587646484,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1605,raw_position_sample,2,2,int,,,900,1,18, collars ,564,141,104182,Emtest2,Emtest2,150.06666564941406,545.5333251953125,170.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1620,hover_association,2,2,int,,,900,1,18, collars ,564,141,,Emtest2,Emtest2,140.06666564941406,545.533332824707,180.06666564941406,602.566650390625,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.3237873573451091,0.023333358764648437,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1653,hover_association,2,2,int,,,900,1,17, their ,538,142,,Emtest2,Emtest2,140.06666564941406,505.5,180.06666564941406,545.533332824707,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33,33,0.03746877649602678,0.048333358764648435,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1656,raw_position_sample,2,2,int,,,900,1,16, with ,484,146,104232,Emtest2,Emtest2,150.06666564941406,468.48333740234375,170.06666564941406,505.5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1670,hover_association,2,2,int,,,900,1,16, with ,484,146,,Emtest2,Emtest2,140.06666564941406,468.4833450317383,180.06666564941406,505.5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.41918036574525125,0.14833335876464843,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1687,hover_association,2,2,int,,,900,1,15, fog ,465,150,,Emtest2,Emtest2,140.06666564941406,438.45001220703125,180.06666564941406,468.4833450317383,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.8840173665683652,0.24833335876464843,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1706,raw_position_sample,2,2,int,,,900,1,14, the ,421,167,104282,Emtest2,Emtest2,150.06666564941406,408.41668701171875,170.06666564941406,438.45001220703125,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1736,hover_association,2,2,int,,,900,1,14, the ,437,160,,Emtest2,Emtest2,140.06666564941406,408.41668701171875,180.06666564941406,438.45001220703125,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.01942219133205708,0.7733333587646485,19,,,,,,,,,,,,,,,Emtest2,Emtest2
1757,raw_position_sample,2,2,int,,,900,1,-1,999,394,178,104332,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1807,raw_position_sample,2,2,int,,,900,1,-1,999,391,179,104383,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1857,raw_position_sample,2,2,int,,,900,1,-1,999,390,179,104434,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1908,raw_position_sample,2,2,int,,,900,1,-1,999,394,178,104484,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
1958,raw_position_sample,2,2,int,,,900,1,-1,999,489,189,104534,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2009,raw_position_sample,2,2,int,,,900,1,-1,999,598,192,104585,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2059,raw_position_sample,2,2,int,,,900,1,-1,999,634,192,104635,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2110,raw_position_sample,2,2,int,,,900,1,-1,999,637,193,104686,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2160,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,104737,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2210,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,104787,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2261,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,104837,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2312,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,104887,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2362,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,104938,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2412,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,104988,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2462,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105039,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2512,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105088,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2563,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105139,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2614,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105190,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2665,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105241,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2715,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105291,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2765,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105342,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2816,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105392,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
2866,raw_position_sample,2,2,int,,,900,1,-1,999,642,196,105442,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emtest2,Emtest2
5323,,,,int,,,900,,,,,,,Emtest2,Emtest2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1,,,,,,,,,,,,,Emtest2,Emtest2
