responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
871,raw_position_sample,2,2,int,,,900,1,-1,999,417,194,354666,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
920,raw_position_sample,2,2,int,,,900,1,-1,999,415,186,354715,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
970,raw_position_sample,2,2,int,,,900,1,14, the ,410,158,354765,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,408.41668701171875,170.06666564941406,438.45001220703125,2,1,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1021,raw_position_sample,2,2,int,,,900,1,14, the ,410,146,354817,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06666564941406,408.41668701171875,170.06666564941406,438.45001220703125,2,1,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1057,hover_association,2,2,int,,,900,1,14, the ,411,163,,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.06666564941406,408.41668701171875,180.06666564941406,438.45001220703125,2,1,hover,126,126,0.0860148841822032,0.09833335876464844,19,,,,,,,,,,,,,,,EmTest1,EmTest1
1071,raw_position_sample,2,2,int,,,900,1,1, The ,414,136,354866,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1121,raw_position_sample,2,2,int,,,900,1,1, The ,419,110,354917,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1172,raw_position_sample,2,2,int,,,900,1,1, The ,419,106,354967,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1222,raw_position_sample,2,2,int,,,900,1,1, The ,419,106,355018,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1272,raw_position_sample,2,2,int,,,900,1,1, The ,419,106,355068,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,408.41668701171875,130.06666564941406,444.45001220703125,1,1,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
