responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
7369,hover_association,2,1,ele,15,4,29,30,52, online. ,869,230,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,815.8166580200195,260.06665802001953,873.8833084106445,4,10,hover,16,16,0.9159016685516795,0.2483334061304867,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7389,raw_position_sample,2,1,ele,15,4,29,30,51, oxytocin ,750,226,1791973,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.06666564941406,744.7666625976562,250.06666564941406,815.8166656494141,4,9,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7403,hover_association,2,1,ele,15,4,29,30,51, oxytocin ,800,226,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,744.7666625976562,260.06665802001953,815.8166580200195,4,9,hover,34,34,0.07365711104179094,0.14833338705699675,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7419,hover_association,2,1,ele,15,4,29,30,49, not ,698,230,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,680.6999893188477,260.06665802001953,710.7333450317383,4,7,hover,17,17,0.5760265634827813,0.2483334061304867,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7436,hover_association,2,1,ele,15,4,29,30,48, should ,628,239,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,622.6333084106445,260.06665802001953,680.6999893188477,4,6,hover,16,16,0.09242290941064124,0.4733334490458391,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7438,raw_position_sample,2,1,ele,15,4,29,30,47, people ,597,243,1792023,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.06666564941406,563.5499877929688,250.06666564941406,622.6333160400391,4,5,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7469,hover_association,2,1,ele,15,4,29,30,47, people ,597,243,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,563.5499954223633,260.06665802001953,622.6333084106445,4,5,hover,34,34,0.058392199136175764,0.723333496729564,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7484,hover_association,2,1,ele,15,4,29,30,46, said ,537,254,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,525.5166702270508,260.06665802001953,563.5499954223633,4,4,hover,16,16,0.30192810420805666,0.8483335205714265,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7489,raw_position_sample,2,1,ele,15,4,29,30,45, and ,520,256,1792073,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.06666564941406,490.4666748046875,250.06666564941406,525.5166778564453,4,3,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7519,hover_association,2,1,ele,15,4,29,30,45, and ,520,256,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06666564941406,490.4666748046875,260.06665802001953,525.5166702270508,4,3,hover,34,34,0.18640017257017902,0.973333544413289,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7540,raw_position_sample,2,1,ele,15,4,29,30,59, oxytocin ,480,262,1792123,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,433.41668701171875,290.066650390625,504.4666748046875,5,2,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7590,raw_position_sample,2,1,ele,15,4,29,30,59, oxytocin ,447,274,1792174,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,433.41668701171875,290.066650390625,504.4666748046875,5,2,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7640,raw_position_sample,2,1,ele,15,4,29,30,59, oxytocin ,442,276,1792225,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,433.41668701171875,290.066650390625,504.4666748046875,5,2,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7691,raw_position_sample,2,1,ele,15,4,29,30,59, oxytocin ,442,277,1792275,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,433.41668701171875,290.066650390625,504.4666748046875,5,2,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7740,raw_position_sample,2,1,ele,15,4,29,30,59, oxytocin ,470,290,1792325,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,433.41668701171875,290.066650390625,504.4666748046875,5,2,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7769,hover_association,2,1,ele,15,4,29,30,59, oxytocin ,486,261,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,433.41668701171875,300.066650390625,504.4666748046875,5,2,hover,249,249,0.7400889799095082,0.8483337113063262,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7785,hover_association,2,1,ele,15,4,29,30,60, at ,514,295,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,504.4666748046875,300.066650390625,524.4833450317383,5,3,hover,17,17,0.47626928391061985,0.8733337160746987,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7791,raw_position_sample,2,1,ele,15,4,29,30,61, home. ,533,293,1792376,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,524.4833374023438,290.066650390625,579.5333404541016,5,4,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7818,hover_association,2,1,ele,15,4,29,30,61, home. ,533,293,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,524.4833450317383,300.066650390625,579.533332824707,5,4,hover,34,34,0.5361791373917748,0.7233336874644637,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7835,hover_association,2,1,ele,15,4,29,30,62, It ,593,282,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,579.533332824707,300.066650390625,594.5333251953125,5,5,hover,16,16,0.8977782683198386,0.5483336540858562,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7841,raw_position_sample,2,1,ele,15,4,29,30,64, impossible ,626,277,1792426,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,612.5333251953125,290.066650390625,702.5999908447266,5,7,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7868,hover_association,2,1,ele,15,4,29,30,64, impossible ,626,277,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,612.5333251953125,300.066650390625,702.599983215332,5,7,hover,33,33,0.7379720338897625,0.22333359209701387,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7884,hover_association,2,1,ele,15,4,29,30,65, to ,706,267,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,702.599983215332,300.066650390625,722.6166687011719,5,8,hover,17,17,0.1698591301278726,0.1733335825602689,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7892,raw_position_sample,2,1,ele,15,4,29,30,66, say ,730,266,1792476,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,722.61669921875,290.066650390625,755.6333618164062,5,9,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7919,hover_association,2,1,ele,15,4,29,30,66, say ,730,266,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,722.6166687011719,300.066650390625,755.6333312988281,5,9,hover,34,34,0.7990914048563162,0.12333357302352391,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7942,raw_position_sample,2,1,ele,15,4,29,30,67, what ,785,267,1792527,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,755.63330078125,290.066650390625,798.6666412353516,5,10,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
7952,hover_association,2,1,ele,15,4,29,30,67, what ,770,266,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,755.6333312988281,300.066650390625,798.6666641235352,5,10,hover,33,33,0.6824167865592642,0.1733335825602689,100,,,,,,,,,,,,,,,EmTest1,EmTest1
7992,raw_position_sample,2,1,ele,15,4,29,30,68, they ,815,274,1792577,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,798.6666870117188,290.066650390625,837.7000122070312,5,11,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8043,raw_position_sample,2,1,ele,15,4,29,30,68, they ,830,283,1792627,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.066650390625,798.6666870117188,290.066650390625,837.7000122070312,5,11,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8052,hover_association,2,1,ele,15,4,29,30,68, they ,803,270,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,798.6666641235352,300.066650390625,837.7000122070312,5,11,hover,100,100,0.8027324688991531,0.5733336588542287,100,,,,,,,,,,,,,,,EmTest1,EmTest1
8085,hover_association,2,1,ele,15,4,29,30,69, are ,839,289,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.06665802001953,837.7000122070312,300.066650390625,868.7333450317383,5,12,hover,34,34,0.13856029635158415,0.8233337065379537,100,,,,,,,,,,,,,,,EmTest1,EmTest1
8093,raw_position_sample,2,1,ele,15,4,29,30,83, “This ,844,301,1792678,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.066650390625,842.433349609375,330.066650390625,887.4500122070312,6,9,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8102,hover_association,2,1,ele,15,4,29,30,83, “This ,844,301,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.066650390625,842.433349609375,340.066650390625,887.4500122070312,6,9,hover,16,16,0.03480156680265689,0.023333740234375,100,,,,,,,,,,,,,,,EmTest1,EmTest1
8136,hover_association,2,1,ele,15,4,29,30,82, Pelphrey. ,839,319,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.066650390625,762.7000122070312,340.066650390625,842.433349609375,6,8,hover,33,33,0.8440633489774187,0.848333740234375,100,,,,,,,,,,,,,,,EmTest1,EmTest1
8144,raw_position_sample,2,1,ele,15,4,29,30,95, Autism ,818,349,1792728,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.066650390625,792.4000244140625,370.066650390625,852.4167022705078,7,8,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8168,hover_association,2,1,ele,15,4,29,30,95, Autism ,818,349,,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.066650390625,792.4000244140625,380.066650390625,852.4166946411133,7,8,hover,34,34,0.04332089028100789,0.848333740234375,100,,,,,,,,,,,,,,,EmTest1,EmTest1
8194,raw_position_sample,2,1,ele,15,4,29,30,-1,999,770,398,1792778,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8245,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1792829,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8295,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1792879,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8346,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1792931,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8396,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1792981,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8447,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793031,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8498,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793082,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8548,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793132,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8598,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793182,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8648,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793233,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8699,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793284,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8750,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793334,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8800,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793384,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
8850,raw_position_sample,2,1,ele,15,4,29,30,-1,999,754,430,1793435,EmTest1,EmTest1,elementary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
11022,,,,ele,15,4,29,,,,,,,EmTest1,EmTest1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"He is for it, as long as the retailer is trustworthy",0,,,,,,,,,,,,,EmTest1,EmTest1
