responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
2357,raw_position_sample,2,1,ele,15,5,30,31,-1,999,442,98,1797964,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2408,raw_position_sample,2,1,ele,15,5,30,31,-1,999,442,98,1798015,EmTest1,EmTest1,,,,,,,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2459,raw_position_sample,2,1,ele,15,5,30,31,2, the ,458,104,1798065,EmTest1,EmTest1,110.06666564941406,445.433349609375,130.06666564941406,475.4666748046875,1,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2480,hover_association,2,1,ele,15,5,30,31,2, the ,448,102,,EmTest1,EmTest1,100.06666564941406,445.433349609375,140.06666564941406,475.4666748046875,1,2,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.9178687411851256,0.19833335876464844,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2509,raw_position_sample,2,1,ele,15,5,30,31,3, scientists ,510,112,1798115,EmTest1,EmTest1,110.06666564941406,475.4666748046875,130.06666564941406,554.5000152587891,1,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2560,raw_position_sample,2,1,ele,15,5,30,31,3, scientists ,545,111,1798166,EmTest1,EmTest1,110.06666564941406,475.4666748046875,130.06666564941406,554.5000152587891,1,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2563,hover_association,2,1,ele,15,5,30,31,3, scientists ,498,111,,EmTest1,EmTest1,100.06666564941406,475.4666748046875,140.06666564941406,554.5000076293945,1,3,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,84,84,0.8797974564673213,0.2733333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2611,raw_position_sample,2,1,ele,15,5,30,31,4, were ,597,110,1798217,EmTest1,EmTest1,110.06666564941406,554.5,130.06666564941406,598.5333404541016,1,4,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2613,hover_association,2,1,ele,15,5,30,31,4, were ,565,110,,EmTest1,EmTest1,100.06666564941406,554.5000076293945,140.06666564941406,598.533332824707,1,4,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.965177900648978,0.24833335876464843,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2660,raw_position_sample,2,1,ele,15,5,30,31,5, surprised ,631,112,1798268,EmTest1,EmTest1,110.06666564941406,598.5333251953125,130.06666564941406,677.5999908447266,1,5,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2697,hover_association,2,1,ele,15,5,30,31,5, surprised ,608,110,,EmTest1,EmTest1,100.06666564941406,598.533332824707,140.06666564941406,677.599983215332,1,5,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,83,83,0.8279934315145264,0.3233333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2711,raw_position_sample,2,1,ele,15,5,30,31,6, to ,682,114,1798317,EmTest1,EmTest1,110.06666564941406,677.5999755859375,130.06666564941406,697.6166381835938,1,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2714,hover_association,2,1,ele,15,5,30,31,6, to ,682,114,,EmTest1,EmTest1,100.06666564941406,677.599983215332,140.06666564941406,697.6166687011719,1,6,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.21981745118494359,0.34833335876464844,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2746,hover_association,2,1,ele,15,5,30,31,7, find ,705,116,,EmTest1,EmTest1,100.06666564941406,697.6166687011719,140.06666564941406,731.6500244140625,1,7,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,32,32,0.6870709869485879,0.4483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2761,raw_position_sample,2,1,ele,15,5,30,31,8, that ,736,118,1798367,EmTest1,EmTest1,110.06666564941406,731.6500244140625,130.06666564941406,766.6833648681641,1,8,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2779,hover_association,2,1,ele,15,5,30,31,8, that ,736,118,,EmTest1,EmTest1,100.06666564941406,731.6500244140625,140.06666564941406,766.6833572387695,1,8,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,34,34,0.8663171082750476,0.5483333587646484,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2812,raw_position_sample,2,1,ele,15,5,30,31,9, oxytocin ,803,125,1798418,EmTest1,EmTest1,110.06666564941406,766.683349609375,130.06666564941406,837.7333526611328,1,9,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2830,hover_association,2,1,ele,15,5,30,31,9, oxytocin ,781,123,,EmTest1,EmTest1,100.06666564941406,766.6833572387695,140.06666564941406,837.7333450317383,1,9,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,50,50,0.9615292681020168,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2846,hover_association,2,1,ele,15,5,30,31,10, did ,855,126,,EmTest1,EmTest1,100.06666564941406,837.7333450317383,140.06666564941406,866.7666625976562,1,10,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,17,17,0.5947186341712095,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
2861,raw_position_sample,2,1,ele,15,5,30,31,11, not ,875,126,1798468,EmTest1,EmTest1,110.06666564941406,866.7666625976562,130.06666564941406,896.8000030517578,1,11,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
2863,hover_association,2,1,ele,15,5,30,31,11, not ,875,126,,EmTest1,EmTest1,100.06666564941406,866.7666625976562,140.06666564941406,896.7999954223633,1,11,elementary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16,16,0.27413998474290424,0.6483333587646485,83,,,,,,,,,,,,,,,EmTest1,EmTest1
