responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1479,hover_association,2,1,ele,24,7,21,22,99, is ,737,354,hover,13,13,0.6287032716073715,0.348333740234375,104,EmTest1,EmTest1,,,340.066650390625,725.6833267211914,380.066650390625,743.683349609375,7,8,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1493,hover_association,2,1,ele,24,7,21,22,82, would ,721,340,hover,14,14,0.7941080246298313,0.998333740234375,104,EmTest1,EmTest1,,,300.066650390625,679.6666870117188,340.066650390625,731.7166748046875,6,8,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1497,raw_position_sample,2,1,ele,24,7,21,22,80, “so ,668,302,,,,,,,EmTest1,EmTest1,,,310.066650390625,639.6500244140625,330.066650390625,669.6667022705078,6,6,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652061,,,,,,,,,,,,,,,EmTest1,EmTest1
1515,hover_association,2,1,ele,24,7,21,22,80, “so ,668,302,hover,22,22,0.9444743661270173,0.048333740234375,104,EmTest1,EmTest1,,,300.066650390625,639.6500244140625,340.066650390625,669.6666946411133,6,6,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1526,hover_association,2,1,ele,24,7,21,22,50, to ,580,234,hover,11,11,0.17235669911416387,0.34833342520397664,104,EmTest1,EmTest1,,,220.06666564941406,576.5499954223633,260.06665802001953,596.566650390625,4,6,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1543,hover_association,2,1,ele,24,7,21,22,34, Kakali ,518,186,hover,17,17,0.41610125133837983,0.14833335876464843,104,EmTest1,EmTest1,,,180.06666564941406,495.51666259765625,220.06666564941406,549.5499954223633,3,3,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1548,raw_position_sample,2,1,ele,24,7,21,22,19, smallest ,467,147,,,,,,,EmTest1,EmTest1,,,150.06666564941406,458.4666748046875,170.06666564941406,529.5000152587891,2,3,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652111,,,,,,,,,,,,,,,EmTest1,EmTest1
1559,hover_association,2,1,ele,24,7,21,22,19, smallest ,467,147,hover,17,17,0.12013128000583428,0.17333335876464845,104,EmTest1,EmTest1,,,140.06666564941406,458.4666748046875,180.06666564941406,529.5000076293945,2,3,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1575,hover_association,2,1,ele,24,7,21,22,1, If ,418,111,hover,16,16,0.6790111400462963,0.2733333587646484,104,EmTest1,EmTest1,,,100.06666564941406,406.54168701171875,140.06666564941406,423.41668701171875,1,1,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest1,EmTest1
1598,raw_position_sample,2,1,ele,24,7,21,22,-1,999,396,96,,,,,,,EmTest1,EmTest1,,,,,,,,,elementary,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1652162,,,,,,,,,,,,,,,EmTest1,EmTest1
