responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
24161,raw_position_sample,2,1,ele,6,3,8,9,80, status. ,401,359,407644.39999997616,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,400.375,369.7734375,458.40625,7,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24211,raw_position_sample,2,1,ele,6,3,8,9,80, status. ,408,359,407694,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,400.375,369.7734375,458.40625,7,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24261,raw_position_sample,2,1,ele,6,3,8,9,80, status. ,419,359,407744.2999999523,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,400.375,369.7734375,458.40625,7,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24311,raw_position_sample,2,1,ele,6,3,8,9,80, status. ,430,359,407794.39999997616,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,400.375,369.7734375,458.40625,7,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24361,raw_position_sample,2,1,ele,6,3,8,9,80, status. ,442,359,407844.39999997616,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,400.375,369.7734375,458.40625,7,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24411,raw_position_sample,2,1,ele,6,3,8,9,80, status. ,454,359,407894.5,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,400.375,369.7734375,458.40625,7,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24444,hover_association,2,1,ele,6,3,8,9,80, status. ,401,359,,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.5234375,400.375,379.5234375,458.40625,7,1,hover,283.90000009536743,283.90000009536743,0.9929994614970382,0.4869140625,123,,,,,,,,,,,,,,,raiTest,raiTest
24461,raw_position_sample,2,1,ele,6,3,8,9,81, “A ,466,359,407944.39999997616,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,458.40625,369.7734375,480.4296875,7,2,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24511,raw_position_sample,2,1,ele,6,3,8,9,81, “A ,478,358,407994.2999999523,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,458.40625,369.7734375,480.4296875,7,2,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24527,hover_association,2,1,ele,6,3,8,9,81, “A ,462,359,,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.5234375,458.40625,379.5234375,480.4296875,7,2,hover,83.09999990463257,83.09999990463257,0.8896771904930827,0.4619140625,123,,,,,,,,,,,,,,,raiTest,raiTest
24562,raw_position_sample,2,1,ele,6,3,8,9,82, lot ,490,358,408044.7999999523,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,480.4296875,369.7734375,504.4453125,7,3,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24611,raw_position_sample,2,1,ele,6,3,8,9,82, lot ,500,358,408094.5,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,480.4296875,369.7734375,504.4453125,7,3,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24644,hover_association,2,1,ele,6,3,8,9,82, lot ,481,358,,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.5234375,480.4296875,379.5234375,504.4453125,7,3,hover,116.60000002384186,116.60000002384186,0.9814573845152895,0.4619140625,123,,,,,,,,,,,,,,,raiTest,raiTest
24661,raw_position_sample,2,1,ele,6,3,8,9,83, of ,509,358,408144.7999999523,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,504.4453125,369.7734375,524.4609375,7,4,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24711,raw_position_sample,2,1,ele,6,3,8,9,83, of ,517,358,408194.2000000477,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,504.4453125,369.7734375,524.4609375,7,4,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
24761,raw_position_sample,2,1,ele,6,3,8,9,83, of ,524,358,408244.7000000477,raiTest,raiTest,elementary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.2734375,504.4453125,369.7734375,524.4609375,7,4,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
