responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
1661,raw_position_sample,2,2,int,,,900,1,-1,999,342,85,107895.79999995232,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1709,raw_position_sample,2,2,int,,,900,1,-1,999,363,98,107944,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1760,raw_position_sample,2,2,int,,,900,1,-1,999,382,109,107994.39999997616,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1810,raw_position_sample,2,2,int,,,900,1,-1,999,395,114,108044.20000004768,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1860,raw_position_sample,2,2,int,,,900,1,1, The ,405,116,108094.39999997616,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,436.3984375,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1910,raw_position_sample,2,2,int,,,900,1,1, The ,411,116,108144,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,436.3984375,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
1960,raw_position_sample,2,2,int,,,900,1,1, The ,412,117,108195,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,436.3984375,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
2011,raw_position_sample,2,2,int,,,900,1,1, The ,412,117,108245.29999995232,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,436.3984375,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
2061,raw_position_sample,2,2,int,,,900,1,1, The ,412,117,108295.70000004768,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,436.3984375,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
2110,raw_position_sample,2,2,int,,,900,1,1, The ,412,117,108344.89999997616,raiTest,raiTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2734375,400.375,129.7734375,436.3984375,1,1,,,,,,,,,,,,,,,,,,,,,raiTest,raiTest
