responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
71669,6a982cf202685f5e9039b6eb,6a982cf202685f5e9039b6eb,6a982cf202685f5e9039b6eb,6a982cf202685f5e9039b6eb,spotlight_PROLIFIC,welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,D34A66T8,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,1790104169463,NaN,6a982cf202685f5e9039b6eb,6a982cf202685f5e9039b6eb,6a982cf202685f5e9039b6eb,6a982cf202685f5e9039b6eb,spotlight_PROLIFIC,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
295855,,,,,,demographics_onestop,36,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:60|English:30|Portuguese:10,100,Spanish:40|English:30|Portuguese:30,100,Spanish:60|English:30|Portuguese:10,100,32,6,PhD,10,10,10,5,6,6,5,25,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
295855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
10360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
141304,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,1,Only for half an hour.,Only for half an hour.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
141304,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,2,We can't decide.,We can't decide.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
141304,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,3,Would you like some help?,Would you like some help?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
141304,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,4,I'll just check for you.,I'll just check for you.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
141304,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,5,I'm too tired.,I'm too tired.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
141304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-22T16:24:42.435Z,,2026-09-22,2026-09-22,13:24:42,2026-09-22 13:24:42,2026-09-22T19:09:31.083Z,9888648,,,,,,2026-09-22,16:09:31,2026-09-22 16:09:31,9888648
