responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
55320,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,18,unfasten,unfasten,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
55320,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,19,opportunity,opportunity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
55320,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,20,little,little,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
55320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
34198,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,21,would explain,explained,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
34198,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,22,sides,sides,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
34198,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,23,highly,highly,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
34198,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,24,retrace,retrace,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
34198,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,25,vicinity,vicinity,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
34202,,,,,spotlight_PROLIFIC,cambridge_general_english_summary,,,,,,,,,,,,,,,,,,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-13T18:56:44.679Z,,2026-07-13,2026-07-13,13:56:44,2026-07-13 13:56:44,2026-07-13T19:24:22.445Z,1657766,,,,,,2026-07-13,14:24:22,2026-07-13 14:24:22,1657766
