responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,onestop_block_level,onestop_paragraph_index,device,hand,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
139360,6983c975d691272d40f51217,6983c975d691272d40f51217,6983c975d691272d40f51217,6983c975d691272d40f51217,spotlight_PROLIFIC,welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,AGY9ZWG9,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,1787596136875,NaN,6983c975d691272d40f51217,6983c975d691272d40f51217,6983c975d691272d40f51217,6983c975d691272d40f51217,spotlight_PROLIFIC,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
446435,,,,,,demographics_onestop,31,México,Spanish ,English ,,Spanish:70|English:30,100,Spanish:60|English:40,100,Spanish:50|English:50,100,20,16,Bachelor's,10,10,10,5,6,4,20,25,18,24,Duolingo,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
446435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
16928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
81184,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Only for half an hour.,Only for half an hour.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
81184,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,2,We can't decide.,We can't decide.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
81184,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Would you like some help?,Would you like some help?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
81184,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Afternoon and evening.,I'll just check for you.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
81184,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,5,It's very good.,I'm too tired.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
81184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
141405,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,6,such,so,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
141405,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,7,once,once,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
141405,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,8,edge,edge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
141405,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,9,think,mean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
141405,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,10,with,with,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
141405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
164887,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,11,making,giving,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
164887,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,12,to eat,to eating,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
164887,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Although,No matter how,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
164887,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,14,after,that,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
164887,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,15,ordered,ordered,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
164887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24T17:12:57.714Z,,2026-08-24,2026-08-24,11:12:57,2026-08-24 11:12:57,2026-08-24T18:28:57.691Z,4559977,,,,,,2026-08-24,12:28:57,2026-08-24 12:28:57,4559977
