participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,1, Scientists ,1383,400,117,0,500.59999999962747,0.97184,0.7119140625,99.5234375,396.95703125,139.5234375,482.40625,1,1,One group looked at images of cars; the other looked at images of facial expressions,0,1,23695,400,117,1383,486,127,2017,86.58,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,2, tested ,2017,486,127,0,633.9000000003725,0.9362440364319792,0.7619140625,99.5234375,482.40625,139.5234375,536.4453125,1,2,One group looked at images of cars; the other looked at images of facial expressions,0,2,23695,486,127,2017,723,137,2933,237.21,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,7, eight ,2933,723,137,0,466.6000000005588,0.939684229199929,0.7369140625,99.5234375,719.6171875,139.5234375,763.65625,1,7,One group looked at images of cars; the other looked at images of facial expressions,0,7,23695,723,137,2933,954,129,3832,231.14,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,13, gave ,3832,954,129,0,300,0.9439418130211105,0.7619140625,99.5234375,953.4296875,139.5234375,997.46875,1,13,One group looked at images of cars; the other looked at images of facial expressions,0,13,23695,954,129,3832,998,130,4144,44.01,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,14, them ,4144,998,130,0,311.6000000005588,0.012229116086682852,0.7369140625,99.5234375,997.46875,139.5234375,1040.91015625,1,14,One group looked at images of cars; the other looked at images of facial expressions,0,14,23695,998,130,4144,444,174,4910,555.74,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,15, either ,4910,444,174,1,216.09999999962747,0.03822261200029233,0.7619140625,139.5234375,396.95703125,179.5234375,450.40625,2,1,One group looked at images of cars; the other looked at images of facial expressions,0,15,23695,444,174,4910,398,166,5378,46.69,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,15, either ,5378,398,166,1,183.40000000037253,0.9549806329021413,0.6869140625,139.5234375,396.95703125,179.5234375,450.40625,2,1,One group looked at images of cars; the other looked at images of facial expressions,0,15,23695,398,166,5378,452,167,5594,54.01,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,16, oxytocin ,5594,452,167,0,216.09999999962747,0.9515011547344111,0.6869140625,139.5234375,450.40625,179.5234375,521.4453125,2,2,One group looked at images of cars; the other looked at images of facial expressions,0,16,23695,452,167,5594,628,170,6383,176.03,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,20, through ,6383,628,170,0,589.0999999996275,0.9306918982850384,0.6619140625,139.5234375,625.5234375,179.5234375,691.578125,2,6,One group looked at images of cars; the other looked at images of facial expressions,0,20,23695,628,170,6383,752,167,6816,124.04,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,23, spray. ,6816,752,167,0,234,0.996728624535316,0.7369140625,139.5234375,750.6328125,179.5234375,803.171875,2,9,One group looked at images of cars; the other looked at images of facial expressions,0,23,23695,752,167,6816,810,170,7000,58.08,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
ZJ3GA6RN,rainetest1,1,ele,15,3,3,4,24," Then, ",7000,810,170,0,183.70000000018626,0.9990786240786241,0.8119140625,139.5234375,803.171875,179.5234375,854.046875,2,10,One group looked at images of cars; the other looked at images of facial expressions,0,24,23695,810,170,7000,889,176,7466,79.23,,,2026-07-07,2026-07-07,2026-07-07T18:18:25.544Z,14:18:25,2026-07-07 14:18:25,,,,,,,spotlight-prolific
