responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
3014,hover_association,2,3,adv,12,3,53,54,98," emissions, ",483,341,hover,14.700000286102295,14.700000286102295,0.02794168691426588,0.209375,117,33916,33916,33916,332.625,480.484375,372.625,570.515625,7,3,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,hover_association,2,3,adv,12,3,53,54,45, supplies. ,418,249,hover,1,1,0.1526662548898497,0.909375,117,33916,33916,33916,212.625,406.4140625,252.625,482.3046875,4,2,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,raw_position_sample,2,3,adv,12,3,53,54,-1,999,418,249,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678845.8000001907,,,,,,,,,,,
3034,hover_association,2,3,adv,12,3,53,54,16, one ,368,171,hover,0.6999998092651367,0.6999998092651367,0.6171683389074694,0.959375,117,33916,33916,33916,132.625,346.375,172.625,381.4140625,2,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,hover_association,2,3,adv,12,3,53,54,16, one ,351,139,hover,0.9000000953674316,0.9000000953674316,0.13199554069119288,0.159375,117,33916,33916,33916,132.625,346.375,172.625,381.4140625,2,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,raw_position_sample,2,3,adv,12,3,53,54,-1,999,340,117,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678895.700000286,,,,,,,,,,,
3118,raw_position_sample,2,3,adv,12,3,53,54,-1,999,334,104,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678945.700000286,,,,,,,,,,,
3167,raw_position_sample,2,3,adv,12,3,53,54,-1,999,335,102,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678995.5,,,,,,,,,,,
3217,raw_position_sample,2,3,adv,12,3,53,54,-1,999,338,100,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679045.3000001907,,,,,,,,,,,
3268,raw_position_sample,2,3,adv,12,3,53,54,-1,999,337,97,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679096.3000001907,,,,,,,,,,,
3319,raw_position_sample,2,3,adv,12,3,53,54,-1,999,337,96,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679146.700000286,,,,,,,,,,,
3351,hover_association,2,3,adv,12,3,53,54,1, Over ,343,99,hover,1.0999999046325684,1.0999999046325684,0.0061314506547948365,0.159375,117,33916,33916,33916,92.625,342.7076822916667,132.625,390.3828125,1,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3368,raw_position_sample,2,3,adv,12,3,53,54,1, Over ,349,105,,,,,,,33916,33916,33916,102.375,346.375,122.875,390.3828125,1,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679196.0999999046,,,,,,,,,,,
3417,raw_position_sample,2,3,adv,12,3,53,54,1, Over ,367,119,,,,,,,33916,33916,33916,102.375,346.375,122.875,390.3828125,1,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679245.5,,,,,,,,,,,
3433,hover_association,2,3,adv,12,3,53,54,1, Over ,349,105,hover,66.90000009536743,66.90000009536743,0.5095385707847981,0.659375,117,33916,33916,33916,92.625,342.7076822916667,132.625,390.3828125,1,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451,hover_association,2,3,adv,12,3,53,54,1, Over ,374,123,hover,0.8999996185302734,0.8999996185302734,0.6563656474893825,0.759375,117,33916,33916,33916,92.625,342.7076822916667,132.625,390.3828125,1,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3467,hover_association,2,3,adv,12,3,53,54,1, Over ,375,123,hover,1,1,0.677340944161466,0.759375,117,33916,33916,33916,92.625,342.7076822916667,132.625,390.3828125,1,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3468,raw_position_sample,2,3,adv,12,3,53,54,-1,999,375,123,,,,,,,33916,33916,33916,,,,,,,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679295.9000000954,,,,,,,,,,,
3484,hover_association,2,3,adv,12,3,53,54,1, Over ,376,124,hover,0.9000000953674316,0.9000000953674316,0.6983162408335495,0.784375,117,33916,33916,33916,92.625,342.7076822916667,132.625,390.3828125,1,1,advanced,3,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
