responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
782,hover_association,2,2,int,27,5,5,6,131, said ,600,418,hover,13.899999618530273,13.899999618530273,0.3020341072529279,0.134375,145,33916,33916,33916,412.625,588.515625,452.625,626.5390625,9,7,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,raw_position_sample,2,2,int,27,5,5,6,-1,999,600,418,,,,,,,33916,33916,33916,,,,,,,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453304.09999990463,,,,,,,,,,,
785,hover_association,2,2,int,27,5,5,6,96, with ,555,337,hover,1.0999999046325684,1.0999999046325684,0.1487969607429295,0.109375,145,33916,33916,33916,332.625,549.4921875,372.625,586.5078125,7,6,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,hover_association,2,2,int,27,5,5,6,49, Households ,507,241,hover,16.699999809265137,16.699999809265137,0.10500429385588259,0.709375,145,33916,33916,33916,212.625,496.4921875,252.625,596.5625,4,4,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,raw_position_sample,2,2,int,27,5,5,6,-1,999,507,241,,,,,,,33916,33916,33916,,,,,,,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453346,,,,,,,,,,,
851,hover_association,2,2,int,27,5,5,6,18, According ,474,152,hover,16.59999990463257,16.59999990463257,0.4264991222396748,0.484375,145,33916,33916,33916,132.625,437.9375,172.625,522.4921875,2,2,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,raw_position_sample,2,2,int,27,5,5,6,4, over ,461,108,,,,,,,33916,33916,33916,102.375,431.421875,122.875,471.4453125,1,4,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453396.7000002861,,,,,,,,,,,
884,hover_association,2,2,int,27,5,5,6,4, over ,461,108,hover,16.600000381469727,16.600000381469727,0.7390201054069881,0.384375,145,33916,33916,33916,92.625,431.421875,132.625,471.4453125,1,4,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,raw_position_sample,2,2,int,27,5,5,6,-1,999,461,108,,,,,,,33916,33916,33916,,,,,,,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453446.30000019073,,,,,,,,,,,
975,raw_position_sample,2,2,int,27,5,5,6,-1,999,461,108,,,,,,,33916,33916,33916,,,,,,,intermediate,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453496.40000009537,,,,,,,,,,,
