responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
862,raw_position_sample,2,2,int,27,6,6,7,122, defines ,555,384,487349.90000009537,33916,33916,382.375,493.4921875,402.875,556.5390625,8,5,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,hover_association,2,2,int,27,6,6,7,122, defines ,555,384,,33916,33916,372.625,493.4921875,412.625,556.5390625,8,5,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.300000190734863,16.300000190734863,0.9755885997521685,0.284375,129,,,,,,,,,,,
886,hover_association,2,2,int,27,6,6,7,65, common ,459,254,,33916,33916,252.625,396.421875,292.625,470.4453125,5,3,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.8453825857519789,0.034375,129,,,,,,,,,,,
903,hover_association,2,2,int,27,6,6,7,32, Traeger-Muney. ,426,209,,33916,33916,172.625,346.375,212.625,477.4375,3,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.6075345731998093,0.909375,129,,,,,,,,,,,
908,raw_position_sample,2,2,int,27,6,6,7,-1,999,426,209,487396.40000009537,33916,33916,,,,,,,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,hover_association,2,2,int,27,6,6,7,32, Traeger-Muney. ,411,189,,33916,33916,172.625,346.375,212.625,477.4375,3,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.699999809265137,16.699999809265137,0.49308536003814973,0.409375,129,,,,,,,,,,,
953,hover_association,2,2,int,27,6,6,7,19, people ,390,165,,33916,33916,132.625,366.390625,172.625,425.4453125,2,2,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.3997883317899193,0.809375,129,,,,,,,,,,,
958,raw_position_sample,2,2,int,27,6,6,7,-1,999,390,165,487446.09999990463,33916,33916,,,,,,,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,raw_position_sample,2,2,int,27,6,6,7,19, people ,376,155,487495.90000009537,33916,33916,142.375,366.390625,162.875,425.4453125,2,2,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,raw_position_sample,2,2,int,27,6,6,7,19, people ,370,152,487546.80000019073,33916,33916,142.375,366.390625,162.875,425.4453125,2,2,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,raw_position_sample,2,2,int,27,6,6,7,19, people ,369,149,487597.30000019073,33916,33916,142.375,366.390625,162.875,425.4453125,2,2,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,hover_association,2,2,int,27,6,6,7,19, people ,384,159,,33916,33916,132.625,366.390625,172.625,425.4453125,2,2,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,166.59999990463257,166.59999990463257,0.04418573885434581,0.334375,129,,,,,,,,,,,
1153,hover_association,2,2,int,27,6,6,7,19, people ,369,140,,33916,33916,132.625,366.390625,172.625,425.4453125,2,2,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6000003814697266,0.6000003814697266,0.04418573885434581,0.184375,129,,,,,,,,,,,
1157,raw_position_sample,2,2,int,27,6,6,7,-1,999,369,140,487645.30000019073,33916,33916,,,,,,,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,hover_association,2,2,int,27,6,6,7,19, people ,369,136,,33916,33916,132.625,366.390625,172.625,425.4453125,2,2,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.04418573885434581,0.084375,129,,,,,,,,,,,
1186,hover_association,2,2,int,27,6,6,7,1, Some ,369,132,,33916,33916,92.625,342.0807291666667,132.625,397.90625,1,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.48220366655782043,0.984375,129,,,,,,,,,,,
1202,hover_association,2,2,int,27,6,6,7,1, Some ,369,129,,33916,33916,92.625,342.0807291666667,132.625,397.90625,1,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.48220366655782043,0.909375,129,,,,,,,,,,,
1207,raw_position_sample,2,2,int,27,6,6,7,-1,999,369,129,487695.5,33916,33916,,,,,,,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,hover_association,2,2,int,27,6,6,7,1, Some ,369,126,,33916,33916,92.625,342.0807291666667,132.625,397.90625,1,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.48220366655782043,0.834375,129,,,,,,,,,,,
1236,hover_association,2,2,int,27,6,6,7,1, Some ,368,123,,33916,33916,92.625,342.0807291666667,132.625,397.90625,1,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.46429071231982066,0.759375,129,,,,,,,,,,,
1258,raw_position_sample,2,2,int,27,6,6,7,1, Some ,367,120,487746,33916,33916,102.375,346.375,122.875,397.90625,1,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,raw_position_sample,2,2,int,27,6,6,7,1, Some ,364,116,487796.2000002861,33916,33916,102.375,346.375,122.875,397.90625,1,1,intermediate,6,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
