responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1649,raw_position_sample,2,2,int,7,7,18,19,-1,999,390,148,830596.5999999046,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,hover_association,2,2,int,7,7,18,19,1, “Accell ,381,130,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.6084611847330796,0.934375,69,,,,,,,,,,,
1670,hover_association,2,2,int,7,7,18,19,1, “Accell ,380,126,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.40000009536743164,0.40000009536743164,0.5924083441327702,0.834375,69,,,,,,,,,,,
1687,hover_association,2,2,int,7,7,18,19,1, “Accell ,379,124,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.5763555035324609,0.784375,69,,,,,,,,,,,
1699,raw_position_sample,2,2,int,7,7,18,19,-1,999,379,124,830646.5,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,hover_association,2,2,int,7,7,18,19,1, “Accell ,378,124,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.5603026629321516,0.784375,69,,,,,,,,,,,
1749,raw_position_sample,2,2,int,7,7,18,19,-1,999,378,124,830696.8000001907,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,hover_association,2,2,int,7,7,18,19,1, “Accell ,378,124,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7999997138977051,0.7999997138977051,0.5603026629321516,0.784375,69,,,,,,,,,,,
1771,hover_association,2,2,int,7,7,18,19,1, “Accell ,378,125,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.8000001907348633,0.8000001907348633,0.5603026629321516,0.809375,69,,,,,,,,,,,
1787,hover_association,2,2,int,7,7,18,19,1, “Accell ,379,126,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.5763555035324609,0.834375,69,,,,,,,,,,,
1798,raw_position_sample,2,2,int,7,7,18,19,-1,999,379,126,830745.9000000954,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,hover_association,2,2,int,7,7,18,19,1, “Accell ,380,127,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.5924083441327702,0.859375,69,,,,,,,,,,,
1820,hover_association,2,2,int,7,7,18,19,1, “Accell ,380,127,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.5924083441327702,0.859375,69,,,,,,,,,,,
1849,raw_position_sample,2,2,int,7,7,18,19,-1,999,380,127,830797.2000002861,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,hover_association,2,2,int,7,7,18,19,1, “Accell ,380,127,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.9000000953674316,0.9000000953674316,0.5924083441327702,0.859375,69,,,,,,,,,,,
1887,hover_association,2,2,int,7,7,18,19,1, “Accell ,381,126,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7999997138977051,0.7999997138977051,0.6084611847330796,0.834375,69,,,,,,,,,,,
1898,raw_position_sample,2,2,int,7,7,18,19,-1,999,381,126,830846.3000001907,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,hover_association,2,2,int,7,7,18,19,1, “Accell ,382,124,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.624514025333389,0.784375,69,,,,,,,,,,,
1921,hover_association,2,2,int,7,7,18,19,1, “Accell ,385,122,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.672672547134317,0.734375,69,,,,,,,,,,,
1949,raw_position_sample,2,2,int,7,7,18,19,1, “Accell ,388,119,830896.9000000954,33916,33916,102.375,346.375,122.875,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,raw_position_sample,2,2,int,7,7,18,19,1, “Accell ,401,112,830947.3000001907,33916,33916,102.375,346.375,122.875,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,hover_association,2,2,int,7,7,18,19,1, “Accell ,388,119,,33916,33916,92.625,343.0963541666667,132.625,405.390625,1,1,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,66.7999997138977,66.7999997138977,0.9295179967392667,0.484375,69,,,,,,,,,,,
2037,hover_association,2,2,int,7,7,18,19,2, has ,414,108,,33916,33916,92.625,405.390625,132.625,439.4140625,1,2,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33.40000009536743,33.40000009536743,0.6057405281285878,0.309375,69,,,,,,,,,,,
2049,raw_position_sample,2,2,int,7,7,18,19,-1,999,426,105,830996.8000001907,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,hover_association,2,2,int,7,7,18,19,3, great ,463,97,,33916,33916,92.625,439.4140625,132.625,485.4453125,1,3,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.5123896809232859,0.109375,69,,,,,,,,,,,
2070,hover_association,2,2,int,7,7,18,19,3, great ,475,95,,33916,33916,92.625,439.4140625,132.625,485.4453125,1,3,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.7730821452817379,0.059375,69,,,,,,,,,,,
2087,hover_association,2,2,int,7,7,18,19,4, hopes ,486,94,,33916,33916,92.625,485.4453125,132.625,539.4921875,1,4,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.010263081815553628,0.034375,69,,,,,,,,,,,
2099,raw_position_sample,2,2,int,7,7,18,19,-1,999,486,94,831046.5,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2104,hover_association,2,2,int,7,7,18,19,4, hopes ,495,93,,33916,33916,92.625,485.4453125,132.625,539.4921875,1,4,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.1767851980341139,0.009375,69,,,,,,,,,,,
2120,hover_association,2,2,int,7,7,18,19,4, hopes ,504,93,,33916,33916,92.625,485.4453125,132.625,539.4921875,1,4,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6000003814697266,0.6000003814697266,0.3433073142526742,0.009375,69,,,,,,,,,,,
2138,hover_association,2,2,int,7,7,18,19,4, hopes ,513,93,,33916,33916,92.625,485.4453125,132.625,539.4921875,1,4,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.5098294304712344,0.009375,69,,,,,,,,,,,
2148,raw_position_sample,2,2,int,7,7,18,19,-1,999,513,93,831096,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2153,hover_association,2,2,int,7,7,18,19,4, hopes ,523,93,,33916,33916,92.625,485.4453125,132.625,539.4921875,1,4,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.6948540040474126,0.009375,69,,,,,,,,,,,
2170,hover_association,2,2,int,7,7,18,19,4, hopes ,535,93,,33916,33916,92.625,485.4453125,132.625,539.4921875,1,4,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.9168834923388263,0.009375,69,,,,,,,,,,,
2187,hover_association,2,2,int,7,7,18,19,5, for ,548,93,,33916,33916,92.625,539.4921875,132.625,565.5,1,5,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.9000000953674316,0.9000000953674316,0.3271252628416942,0.009375,69,,,,,,,,,,,
2198,raw_position_sample,2,2,int,7,7,18,19,-1,999,548,93,831146.2000002861,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,hover_association,2,2,int,7,7,18,19,5, for ,561,93,,33916,33916,92.625,539.4921875,132.625,565.5,1,5,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.8000001907348633,0.8000001907348633,0.8269750675878642,0.009375,69,,,,,,,,,,,
2220,hover_association,2,2,int,7,7,18,19,6, e-bikes ,574,94,,33916,33916,92.625,565.5,132.625,628.53125,1,6,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.13485374318294496,0.034375,69,,,,,,,,,,,
2236,hover_association,2,2,int,7,7,18,19,6, e-bikes ,587,96,,33916,33916,92.625,565.5,132.625,628.53125,1,6,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.3411006445215667,0.084375,69,,,,,,,,,,,
2249,raw_position_sample,2,2,int,7,7,18,19,-1,999,587,96,831196.5,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253,hover_association,2,2,int,7,7,18,19,6, e-bikes ,600,98,,33916,33916,92.625,565.5,132.625,628.53125,1,6,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.5473475458601884,0.134375,69,,,,,,,,,,,
2271,hover_association,2,2,int,7,7,18,19,6, e-bikes ,611,99,,33916,33916,92.625,565.5,132.625,628.53125,1,6,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.721864154685176,0.159375,69,,,,,,,,,,,
2287,hover_association,2,2,int,7,7,18,19,6, e-bikes ,622,100,,33916,33916,92.625,565.5,132.625,628.53125,1,6,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.8000001907348633,0.8000001907348633,0.8963807635101636,0.184375,69,,,,,,,,,,,
2299,raw_position_sample,2,2,int,7,7,18,19,-1,999,622,100,831246.7000002861,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2304,hover_association,2,2,int,7,7,18,19,6, e-bikes ,628,101,,33916,33916,92.625,565.5,132.625,628.53125,1,6,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.991571641051066,0.209375,69,,,,,,,,,,,
2321,hover_association,2,2,int,7,7,18,19,7, in ,637,101,,33916,33916,92.625,628.53125,132.625,647.546875,1,7,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6000003814697266,0.6000003814697266,0.44535743631881675,0.209375,69,,,,,,,,,,,
2336,hover_association,2,2,int,7,7,18,19,7, in ,638,101,,33916,33916,92.625,628.53125,132.625,647.546875,1,7,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5999999046325684,0.5999999046325684,0.4979457682826623,0.209375,69,,,,,,,,,,,
2348,raw_position_sample,2,2,int,7,7,18,19,-1,999,638,101,831296.0999999046,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,raw_position_sample,2,2,int,7,7,18,19,-1,999,638,101,831346.4000000954,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,raw_position_sample,2,2,int,7,7,18,19,-1,999,638,101,831397.2000002861,33916,33916,,,,,,,intermediate,7,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
