responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1874,raw_position_sample,2,2,int,29,5,32,33,-1,999,586,399,1117100.5999999046,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,hover_association,2,2,int,29,5,32,33,85, of ,493,298,,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.7000002861022949,0.7000002861022949,0.32669789227166274,0.134375,115,292.625,486.4609375,332.625,506.4765625,6,4,,,,,,,,,,,
1917,hover_association,2,2,int,29,5,32,33,71, 11am? ,450,257,,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.8000001907348633,0.8000001907348633,0.7426480372588157,0.109375,115,252.625,406.3984375,292.625,465.109375,5,3,,,,,,,,,,,
1919,raw_position_sample,2,2,int,29,5,32,33,-1,999,450,257,1117145.8000001907,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,hover_association,2,2,int,29,5,32,33,53," 8am, ",405,216,,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.8575394759673781,0.084375,115,212.625,366.390625,252.625,411.4140625,4,2,,,,,,,,,,,
1969,raw_position_sample,2,2,int,29,5,32,33,37, workplaces ,372,187,1117195.5999999046,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.375,346.375,202.875,441.4140625,3,1,,,,,,,,,,,
1983,hover_association,2,2,int,29,5,32,33,37, workplaces ,384,198,,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,33.40000009536743,33.40000009536743,0.26962597616111794,0.359375,115,172.625,346.375,212.625,441.4140625,3,1,,,,,,,,,,,
2000,hover_association,2,2,int,29,5,32,33,18, hours ,350,162,,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6000003814697266,0.6000003814697266,0.07245471580262336,0.734375,115,132.625,346.375,172.625,396.40625,2,1,,,,,,,,,,,
2019,raw_position_sample,2,2,int,29,5,32,33,18, hours ,347,155,1117245.5999999046,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.375,346.375,162.875,396.40625,2,1,,,,,,,,,,,
2032,hover_association,2,2,int,29,5,32,33,18, hours ,347,155,,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,15.699999809265137,15.699999809265137,0.012492192379762648,0.559375,115,132.625,346.375,172.625,396.40625,2,1,,,,,,,,,,,
2068,raw_position_sample,2,2,int,29,5,32,33,-1,999,343,130,1117295.4000000954,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2119,raw_position_sample,2,2,int,29,5,32,33,1, This ,346,111,1117345.700000286,33916,33916,intermediate,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,346.375,122.875,385.3828125,1,1,,,,,,,,,,,
