responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
3202,hover_association,2,3,adv,15,3,36,37,6, affects ,600,117,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,133,133,0.9443617165290376,0.559375,138,92.625,597.5,132.625,655.2109375,1,6,,,,,,,,,,,
3218,raw_position_sample,2,3,adv,15,3,36,37,7, the ,660,115,1219896.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,655.2109375,122.875,685.234375,1,7,,,,,,,,,,,
3252,hover_association,2,3,adv,15,3,36,37,7, the ,660,115,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,49.90000009536743,49.90000009536743,0.6924277907884465,0.509375,138,92.625,655.2109375,132.625,685.234375,1,7,,,,,,,,,,,
3268,raw_position_sample,2,3,adv,15,3,36,37,8, brain ,690,112,1219946.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,685.234375,122.875,730.265625,1,8,,,,,,,,,,,
3318,raw_position_sample,2,3,adv,15,3,36,37,8, brain ,721,111,1219996.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,685.234375,122.875,730.265625,1,8,,,,,,,,,,,
3335,hover_association,2,3,adv,15,3,36,37,8, brain ,690,112,,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,83.30000019073486,83.30000019073486,0.9274809160305344,0.459375,138,92.625,685.234375,132.625,730.265625,1,8,,,,,,,,,,,
3368,raw_position_sample,2,3,adv,15,3,36,37,9, and ,733,111,1220046.5999999046,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,730.265625,122.875,765.3046875,1,9,,,,,,,,,,,
3419,raw_position_sample,2,3,adv,15,3,36,37,9, and ,733,111,1220097.3000001907,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,730.265625,122.875,765.3046875,1,9,,,,,,,,,,,
3468,raw_position_sample,2,3,adv,15,3,36,37,9, and ,733,111,1220146.3000001907,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,730.265625,122.875,765.3046875,1,9,,,,,,,,,,,
3519,raw_position_sample,2,3,adv,15,3,36,37,9, and ,733,111,1220197.3000001907,33916,33916,advanced,3,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.375,730.265625,122.875,765.3046875,1,9,,,,,,,,,,,
