responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
2750,raw_position_sample,2,3,adv,24,5,48,49,95, used ,557,347,1533905,33916,33916,342.375,522.5,362.875,566.5390625,7,5,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,hover_association,2,3,adv,24,5,48,49,95, used ,557,347,,33916,33916,332.625,522.5,372.625,566.5390625,7,5,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.59999990463257,16.59999990463257,0.7833954230973922,0.359375,119,,,,,,,,,,,
2791,raw_position_sample,2,3,adv,24,5,48,49,34, and ,520,187,1533946.5,33916,33916,182.375,501.4609375,202.875,536.5,3,5,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2840,raw_position_sample,2,3,adv,24,5,48,49,34, and ,520,187,1533995.9000000954,33916,33916,182.375,501.4609375,202.875,536.5,3,5,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2892,raw_position_sample,2,3,adv,24,5,48,49,34, and ,520,187,1534047.200000286,33916,33916,182.375,501.4609375,202.875,536.5,3,5,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,raw_position_sample,2,3,adv,24,5,48,49,34, and ,520,187,1534096.200000286,33916,33916,182.375,501.4609375,202.875,536.5,3,5,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,hover_association,2,3,adv,24,5,48,49,34, and ,521,200,,33916,33916,172.625,501.4609375,212.625,536.5,3,5,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,216.80000019073486,216.80000019073486,0.35785953177257523,0.359375,119,,,,,,,,,,,
2991,raw_position_sample,2,3,adv,24,5,48,49,-1,999,514,187,1534146.5,33916,33916,,,,,,,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,hover_association,2,3,adv,24,5,48,49,33, slow ,495,175,,33916,33916,172.625,460.4453125,212.625,501.4609375,3,4,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,1.4000000953674316,1.4000000953674316,0.8424761904761905,0.059375,119,,,,,,,,,,,
3035,hover_association,2,3,adv,24,5,48,49,17, cruel. ,463,155,,33916,33916,132.625,438.40625,172.625,487.265625,2,2,advanced,5,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.600000381469727,16.600000381469727,0.5033578509753758,0.559375,119,,,,,,,,,,,
