responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1715,raw_position_sample,2,2,int,29,1,28,29,79," depression, ",482,313,1040554.5,33916,33916,302.375,424.4375,322.875,522.5,6,2,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,hover_association,2,2,int,29,1,28,29,79," depression, ",482,313,,33916,33916,292.625,424.4375,332.625,522.5,6,2,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.800000190734863,16.800000190734863,0.5869980879541109,0.509375,84,,,,,,,,,,,
1736,hover_association,2,2,int,29,1,28,29,51, starting ,427,218,,33916,33916,212.625,386.3984375,252.625,450.4296875,4,2,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.9000000953674316,0.9000000953674316,0.6340897999023914,0.134375,84,,,,,,,,,,,
1757,raw_position_sample,2,2,int,29,1,28,29,39, and ,409,185,1040596.0999999046,33916,33916,182.375,397.4140625,202.875,432.453125,3,2,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,hover_association,2,2,int,29,1,28,29,39, and ,409,185,,33916,33916,172.625,397.4140625,212.625,432.453125,3,2,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,16.699999809265137,16.699999809265137,0.3306577480490524,0.309375,84,,,,,,,,,,,
1808,raw_position_sample,2,2,int,29,1,28,29,-1,999,409,185,1040647.0999999046,33916,33916,,,,,,,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,raw_position_sample,2,2,int,29,1,28,29,-1,999,409,185,1040696.3000001907,33916,33916,,,,,,,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,raw_position_sample,2,2,int,29,1,28,29,-1,999,409,185,1040746.5,33916,33916,,,,,,,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,raw_position_sample,2,2,int,29,1,28,29,-1,999,409,185,1040796.8000001907,33916,33916,,,,,,,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,hover_association,2,2,int,29,1,28,29,21, solution: ,402,171,,33916,33916,132.625,346.375,172.625,418.421875,2,1,intermediate,1,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,2.1999998092651367,2.1999998092651367,0.7720667967902841,0.959375,84,,,,,,,,,,,
