responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
3652,hover_association,2,3,adv,9,5,65,66,49, London ,430,236,hover,16.59999990463257,16.59999990463257,0.42430063633089204,0.584375,74,33916,33916,33916,212.625,402.390625,252.625,467.4609375,4,2,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,raw_position_sample,2,3,adv,9,5,65,66,16, alarm. ,352,156,,,,,,,33916,33916,33916,142.375,346.375,162.875,401.390625,2,1,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969797.200000286,,,,,,,,,,,
3684,hover_association,2,3,adv,9,5,65,66,16, alarm. ,352,156,hover,16.199999809265137,16.199999809265137,0.20448736154501562,0.38958333333333334,74,33916,33916,33916,132.625,346.375,192.625,373.8828125,2,1,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3729,raw_position_sample,2,3,adv,9,5,65,66,-1,999,302,105,,,,,,,33916,33916,33916,,,,,,,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969846.9000000954,,,,,,,,,,,
3777,raw_position_sample,2,3,adv,9,5,65,66,-1,999,291,87,,,,,,,33916,33916,33916,,,,,,,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969895.700000286,,,,,,,,,,,
3828,raw_position_sample,2,3,adv,9,5,65,66,-1,999,291,78,,,,,,,33916,33916,33916,,,,,,,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969946.3000001907,,,,,,,,,,,
3877,raw_position_sample,2,3,adv,9,5,65,66,-1,999,291,73,,,,,,,33916,33916,33916,,,,,,,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969995.8000001907,,,,,,,,,,,
3928,raw_position_sample,2,3,adv,9,5,65,66,-1,999,291,73,,,,,,,33916,33916,33916,,,,,,,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970046.3000001907,,,,,,,,,,,
3978,raw_position_sample,2,3,adv,9,5,65,66,-1,999,355,90,,,,,,,33916,33916,33916,,,,,,,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970096.700000286,,,,,,,,,,,
3985,hover_association,2,3,adv,9,5,65,66,1, But ,370,98,hover,0.5,0.5,0.7615826476524209,0.134375,74,33916,33916,33916,92.625,343.17265625,132.625,378.3984375,1,1,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,hover_association,2,3,adv,9,5,65,66,1, But ,378,102,hover,0.6999998092651367,0.6999998092651367,0.9886890372374637,0.234375,74,33916,33916,33916,92.625,343.17265625,132.625,378.3984375,1,1,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4027,raw_position_sample,2,3,adv,9,5,65,66,2, the ,385,105,,,,,,,33916,33916,33916,102.375,378.3984375,122.875,408.421875,1,2,advanced,5,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970145.8000001907,,,,,,,,,,,
