responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
13769,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",858,288,hover,0.40000009536743164,0.40000009536743164,0.13082332828223958,0.884375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13786,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",861,290,hover,0.2999997138977051,0.2999997138977051,0.1457434821463263,0.934375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13801,raw_position_sample,2,2,int,7,4,15,16,-1,999,861,290,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739147,,,,,,,,,,,
13851,raw_position_sample,2,2,int,7,4,15,16,-1,999,861,290,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739197.0999999046,,,,,,,,,,,
13901,raw_position_sample,2,2,int,7,4,15,16,-1,999,861,290,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739246.0999999046,,,,,,,,,,,
13951,raw_position_sample,2,2,int,7,4,15,16,-1,999,861,290,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739296.3000001907,,,,,,,,,,,
13975,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",862,290,hover,2.5,2.5,0.15071686676768853,0.934375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13988,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",869,288,hover,1,1,0.18553055911722424,0.884375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14001,raw_position_sample,2,2,int,7,4,15,16,-1,999,869,288,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739346.3000001907,,,,,,,,,,,
14003,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",873,288,hover,1,1,0.2054240976026732,0.884375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14020,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",890,286,hover,0.9000000953674316,0.9000000953674316,0.28997163616583127,0.834375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14037,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",906,285,hover,1.0999999046325684,1.0999999046325684,0.36954579010762717,0.809375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14051,raw_position_sample,2,2,int,7,4,15,16,-1,999,906,285,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739396.9000000954,,,,,,,,,,,
14055,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",921,284,hover,1,1,0.44414655942806075,0.784375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14070,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",929,282,hover,0.9000000953674316,0.9000000953674316,0.4839336363989587,0.734375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14102,raw_position_sample,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",940,281,,,,,,,33916,33916,33916,262.375,831.6953125,282.875,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739447.4000000954,,,,,,,,,,,
14151,raw_position_sample,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",958,279,,,,,,,33916,33916,33916,262.375,831.6953125,282.875,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739496.8000001907,,,,,,,,,,,
14201,raw_position_sample,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",971,278,,,,,,,33916,33916,33916,262.375,831.6953125,282.875,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739547,,,,,,,,,,,
14252,raw_position_sample,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",987,278,,,,,,,33916,33916,33916,262.375,831.6953125,282.875,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739597.0999999046,,,,,,,,,,,
14301,raw_position_sample,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",1004,274,,,,,,,33916,33916,33916,262.375,831.6953125,282.875,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739646.3000001907,,,,,,,,,,,
14351,raw_position_sample,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",1015,271,,,,,,,33916,33916,33916,262.375,831.6953125,282.875,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739696.8000001907,,,,,,,,,,,
14401,raw_position_sample,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",1027,270,,,,,,,33916,33916,33916,262.375,831.6953125,282.875,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739746.5,,,,,,,,,,,
14436,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",940,281,hover,350.09999990463257,350.09999990463257,0.9961922523992696,0.434375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14452,raw_position_sample,2,2,int,7,4,15,16,76, a ,1033,270,,,,,,,33916,33916,33916,262.375,1032.765625,282.875,1042.78125,5,15,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739797.4000000954,,,,,,,,,,,
14501,raw_position_sample,2,2,int,7,4,15,16,76, a ,1036,271,,,,,,,33916,33916,33916,262.375,1032.765625,282.875,1042.78125,5,15,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739846.7000002861,,,,,,,,,,,
14552,raw_position_sample,2,2,int,7,4,15,16,76, a ,1037,274,,,,,,,33916,33916,33916,262.375,1032.765625,282.875,1042.78125,5,15,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739897.0999999046,,,,,,,,,,,
14569,hover_association,2,2,int,7,4,15,16,76, a ,1033,270,hover,133.30000019073486,133.30000019073486,0.32293291731669266,0.584375,103,33916,33916,33916,252.625,1032.765625,292.625,1042.78125,5,15,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14587,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",984,289,hover,1.0999999046325684,1.0999999046325684,0.757469790573882,0.909375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14601,raw_position_sample,2,2,int,7,4,15,16,-1,999,984,289,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739946.2000002861,,,,,,,,,,,
14604,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",934,291,hover,0.7999997138977051,0.7999997138977051,0.5088005595057699,0.959375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14620,hover_association,2,2,int,7,4,15,16,75," ElectricBikeReview.com, ",864,291,hover,0.9000000953674316,0.9000000953674316,0.16066363601041303,0.959375,103,33916,33916,33916,252.625,831.6953125,292.625,1032.765625,5,14,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14637,hover_association,2,2,int,7,4,15,16,73, editor ,774,291,hover,1.1999998092651367,1.1999998092651367,0.24687695190505934,0.959375,103,33916,33916,33916,252.625,761.6484375,292.625,811.6796875,5,12,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
