responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,SONAId,SonaId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1717,hover_association,2,2,int,,,900,1,1, The ,360,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.40000009536743164,0.40000009536743164,0.43475089213540724,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1728,raw_position_sample,2,2,int,,,900,1,-1,999,360,130,330196.40000009537,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1734,hover_association,2,2,int,,,900,1,1, The ,362,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.4852230831411051,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1751,hover_association,2,2,int,,,900,1,1, The ,364,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.40000009536743164,0.40000009536743164,0.535695274146803,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1767,hover_association,2,2,int,,,900,1,1, The ,367,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.6114035606553497,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1778,raw_position_sample,2,2,int,,,900,1,-1,999,367,130,330246.80000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,hover_association,2,2,int,,,900,1,1, The ,369,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.6618757516610476,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1801,hover_association,2,2,int,,,900,1,1, The ,371,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.5,0.5,0.7123479426667454,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1818,hover_association,2,2,int,,,900,1,1, The ,374,130,,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover,0.6999998092651367,0.6999998092651367,0.7880562291752923,0.734375,19,100.625,342.77265625,140.625,382.3984375,1,1,,,,,,,,,,,
1828,raw_position_sample,2,2,int,,,900,1,-1,999,374,130,330296.30000019073,33916,33916,33916,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
