responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1169,hover_association,2,2,int,27,2,2,3,74, things ,423,285,hover,0.8000001907348633,0.8000001907348633,0.7842097510679039,0.809375,95,33916,33916,33916,252.625,381.40625,292.625,434.4453125,5,2,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,raw_position_sample,2,2,int,27,2,2,3,-1,999,423,285,,,,,,,33916,33916,33916,,,,,,,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374246.30000019073,,,,,,,,,,,
1201,hover_association,2,2,int,27,2,2,3,56, rich. ,391,231,hover,15.699999809265137,15.699999809265137,0.3531440162271805,0.459375,95,33916,33916,33916,212.625,377.3984375,252.625,415.9140625,4,2,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,raw_position_sample,2,2,int,27,2,2,3,36, because ,379,184,,,,,,,33916,33916,33916,182.375,346.375,202.875,419.4296875,3,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374297,,,,,,,,,,,
1278,raw_position_sample,2,2,int,27,2,2,3,36, because ,379,184,,,,,,,33916,33916,33916,182.375,346.375,202.875,419.4296875,3,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374346.7000002861,,,,,,,,,,,
1328,raw_position_sample,2,2,int,27,2,2,3,36, because ,379,184,,,,,,,33916,33916,33916,182.375,346.375,202.875,419.4296875,3,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374396.2000002861,,,,,,,,,,,
1378,raw_position_sample,2,2,int,27,2,2,3,36, because ,379,184,,,,,,,33916,33916,33916,182.375,346.375,202.875,419.4296875,3,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374446.7000002861,,,,,,,,,,,
1418,hover_association,2,2,int,27,2,2,3,36, because ,379,184,hover,200.40000009536743,200.40000009536743,0.4465832531280077,0.284375,95,33916,33916,33916,172.625,346.375,212.625,419.4296875,3,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,raw_position_sample,2,2,int,27,2,2,3,-1,999,379,184,,,,,,,33916,33916,33916,,,,,,,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374496.30000019073,,,,,,,,,,,
1436,hover_association,2,2,int,27,2,2,3,20, problems. ,373,163,hover,1.0999999046325684,1.0999999046325684,0.3168169564004834,0.759375,95,33916,33916,33916,132.625,346.375,172.625,430.4140625,2,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,hover_association,2,2,int,27,2,2,3,20, problems. ,367,148,hover,16.5,16.5,0.24542158594403643,0.384375,95,33916,33916,33916,132.625,346.375,172.625,430.4140625,2,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,raw_position_sample,2,2,int,27,2,2,3,-1,999,367,148,,,,,,,33916,33916,33916,,,,,,,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374547.2000002861,,,,,,,,,,,
1518,hover_association,2,2,int,27,2,2,3,1, “Many ,358,120,hover,33.59999990463257,33.59999990463257,0.17905897945659377,0.284375,95,33916,33916,33916,92.625,342.4453125,132.625,401.390625,1,1,intermediate,2,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
