responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,SonaId,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,SONAId,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_SONAId,glb_SubjectId,glb_SubjectID,glb_SonaId,glb_study_key
1853,hover_association,2,2,int,29,4,31,32,88, same ,477,311,hover,16.59999990463257,16.59999990463257,0.15394422310756972,0.459375,89,33916,33916,33916,292.625,469.453125,332.625,518.4765625,6,4,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,raw_position_sample,2,2,int,29,4,31,32,34, different ,367,198,,,,,,,33916,33916,33916,182.375,346.375,202.875,416.1015625,3,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096646,,,,,,,,,,,
1886,hover_association,2,2,int,29,4,31,32,34, different ,367,198,hover,16.09999990463257,16.09999990463257,0.2957983193277311,0.634375,89,33916,33916,33916,172.625,346.375,212.625,416.1015625,3,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,raw_position_sample,2,2,int,29,4,31,32,-1,999,336,150,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096696.0999999046,,,,,,,,,,,
1972,raw_position_sample,2,2,int,29,4,31,32,-1,999,336,150,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096745.4000000954,,,,,,,,,,,
2022,raw_position_sample,2,2,int,29,4,31,32,-1,999,336,150,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096795.700000286,,,,,,,,,,,
2073,raw_position_sample,2,2,int,29,4,31,32,-1,999,336,150,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096846.8000001907,,,,,,,,,,,
2122,raw_position_sample,2,2,int,29,4,31,32,-1,999,346,146,,,,,,,33916,33916,33916,,,,,,,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096895.5999999046,,,,,,,,,,,
2153,hover_association,2,2,int,29,4,31,32,18, should ,353,144,hover,16.59999990463257,16.59999990463257,0.11413189771197847,0.284375,89,33916,33916,33916,132.625,346.375,172.625,404.421875,2,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2170,hover_association,2,2,int,29,4,31,32,18, should ,382,133,hover,0.7999997138977051,0.7999997138977051,0.6137281292059219,0.009375,89,33916,33916,33916,132.625,346.375,172.625,404.421875,2,1,intermediate,4,33916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
