responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
4865,697b69e6f90228a766c87513,697b69e6f90228a766c87513,697b69e6f90228a766c87513,697b69e6f90228a766c87513,spotlight_PROLIFIC,welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.009Z,FAJF7JBE,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,1786887813730,NaN,697b69e6f90228a766c87513,697b69e6f90228a766c87513,697b69e6f90228a766c87513,697b69e6f90228a766c87513,spotlight_PROLIFIC,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
85954,,,,,,demographics_onestop,25,Brazil,Brazilian Portuguese,"English, Spanish",Spanish,Brazilian Portuguese:40|English:35|Spanish:25,100,Brazilian Portuguese:20|English:40|Spanish:40,100,Brazilian Portuguese:60|English:20|Spanish:20,100,22,2,Master's,10,10,10,7,9,9,7,18,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
85955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
8173,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,1,Only for half an hour.,Only for half an hour.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
8173,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,2,We can't decide.,We can't decide.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
8173,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,3,Would you like some help?,Would you like some help?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
8173,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,4,I'll just check for you.,I'll just check for you.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
8173,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,5,Not at all.,I'm too tired.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
8173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-16T13:12:24.010Z,,2026-08-16,2026-08-16,10:12:24,2026-08-16 10:12:24,2026-08-16T13:43:34.497Z,1870487,,,,,,2026-08-16,10:43:34,2026-08-16 10:43:34,1870487
