responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,onestop_block_level,onestop_paragraph_index,hand,device,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,355,95,475401.40000003576,,,,,,,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,355,95,475447.8000000119,,,,,,,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,355,95,475495.60000002384,,,,,,,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,355,95,475542.3000000119,,,,,,,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,-1,999,368,99,475588.60000002384,,,,,,,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,1, The ,435,122,475650.5,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,1, The ,454,128,475696.60000002384,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,1, The ,456,128,475744,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raw_position_sample,2,2,int,,,900,1,1, The ,462,132,475788.10000002384,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hover_association,2,2,int,,,900,1,1, The ,435,122,,101.16249465942383,429.6099937438965,141.16250228881836,469.2375068664551,1,1,hover,166.5,166.5,0.9183015382155769,0.8459374721646362,19,,,,,,,,,,2026-07-14T19:00:32.896Z,,2026-07-14,2026-07-14,15:00:32,2026-07-14 15:00:32,2026-07-14T19:27:52.606Z,1639710,,,,,,2026-07-14,15:27:52,2026-07-14 15:27:52,1639710
