responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
90,raw_position_sample,2,2,int,11,1,1,2,-1,999,387,92,1301448.500000001,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
145,raw_position_sample,2,2,int,11,1,1,2,-1,999,386,92,1301503.3999999994,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
193,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301551.2000000002,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
242,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301600.2000000002,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
291,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301649.1000000006,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
340,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301698.3999999994,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
393,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301751.1000000006,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
439,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301797.7999999998,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
490,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301848.1000000006,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
543,raw_position_sample,2,2,int,11,1,1,2,-1,999,385,91,1301901.2000000002,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,intermediate,1,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,spotlight_PROLIFIC,,48,Mexico,Spanish,"English, French, German, Portuguese, Russian",French|German|Portuguese|Russian,Spanish:40|English:30|French:10|German:10|Portuguese:10|Russian:0,100,Spanish:40|English:40|French:10|German:0|Portuguese:10|Russian:0,100,Spanish:30|English:30|French:15|German:15|Portuguese:10|Russian:0,100,22,0,Master's,10,10,10,10,10,10,4,12,6,10,TOEFL,105,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:36.681Z,RQ8TNSDW,2026-09-22,2026-09-22,15:16:36,2026-09-22 15:16:36,,,,,,,,6a138ed68858f33132ce1820,6a138ed68858f33132ce1820,,,,
