responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
520,hover_association,2,3,adv,21,1,1,2,2, all ,513,131,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,103.90625,512.578125,143.90625,535.60546875,1,2,hover,70,70,0.8,0.80234375,88,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
557,raw_position_sample,2,3,adv,21,1,1,2,3, across ,540,137,1567878.099999994,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,113.90625,535.60546875,133.90625,593.6328125,1,3,,,,,,,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
607,raw_position_sample,2,3,adv,21,1,1,2,3, across ,540,138,1567927.899999991,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,113.90625,535.60546875,133.90625,593.6328125,1,3,,,,,,,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
666,raw_position_sample,2,3,adv,21,1,1,2,3, across ,537,140,1567986.099999994,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,113.90625,535.60546875,133.90625,593.6328125,1,3,,,,,,,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
712,raw_position_sample,2,3,adv,21,1,1,2,3, across ,566,140,1568032.700000003,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,113.90625,535.60546875,133.90625,593.6328125,1,3,,,,,,,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
760,hover_association,2,3,adv,21,1,1,2,3, across ,538,137,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,103.90625,535.60546875,143.90625,593.6328125,1,3,hover,240,240,0.9890945809491754,0.82734375,88,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
762,raw_position_sample,2,3,adv,21,1,1,2,4," Rwanda, ",601,136,1568082.5,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,113.90625,593.6328125,133.90625,669.6875,1,4,,,,,,,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
807,raw_position_sample,2,3,adv,21,1,1,2,4," Rwanda, ",613,136,1568127.899999991,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,113.90625,593.6328125,133.90625,669.6875,1,4,,,,,,,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
841,hover_association,2,3,adv,21,1,1,2,4," Rwanda, ",601,136,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,103.90625,593.6328125,143.90625,669.6875,1,4,hover,80.20000000298023,80.20000000298023,0.34668721109399075,0.85234375,88,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
860,hover_association,2,3,adv,21,1,1,2,18, Butare ,630,157,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,143.90625,603.671875,183.90625,661.71875,2,4,hover,19.799999997019768,19.799999997019768,0.5052489905787348,0.67734375,88,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
861,raw_position_sample,2,3,adv,21,1,1,2,34, the ,638,188,1568182.099999994,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,193.90625,619.6875,213.90625,649.7265625,3,6,,,,,,,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
880,hover_association,2,3,adv,21,1,1,2,34, the ,638,188,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,183.90625,619.6875,223.90625,649.7265625,3,6,hover,20.100000008940697,20.100000008940697,0.7094928478543563,0.65234375,88,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
891,hover_association,2,3,adv,21,1,1,2,46, embrace ,642,272,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,advanced,1,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,spotlight_PROLIFIC,,24,Brasil - São Paulo,Portugues,Inglês | Portugues ,Inglês | Portugues,Portugues:26|English:29|Inglês | Portugues:45,100,Portugues:42|English:20|Inglês | Portugues:38,100,Portugues:36|English:31|Inglês | Portugues:33,100,18,22,Bachelor's,10,9,8,7,4,4,8,9,7,9,Duolingo,140,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,223.90625,569.62890625,283.90625,644.66796875,4,4,hover,10.099999994039536,10.099999994039536,0.9644456012493493,0.8015625,88,,,,,,2026-08-16T12:47:13.673Z,5V4EJNJP,2026-08-16,2026-08-16,09:47:13,2026-08-16 09:47:13,,,,,,,,697a6aad7ed5edbb062a6da9,697a6aad7ed5edbb062a6da9,,,,
