responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
71,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,115882,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
121,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,115932,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
172,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,115983,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
222,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116033,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
272,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116084,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
323,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116133,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
373,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116184,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
423,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116235,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
474,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116285,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
524,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116335,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
575,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116386,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
625,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116437,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
676,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116487,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
726,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116538,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
777,raw_position_sample,2,2,int,,,900,1,-1,999,567,120,116588,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
827,raw_position_sample,2,2,int,,,900,1,-1,999,579,107,116638,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
878,raw_position_sample,2,2,int,,,900,1,-1,999,617,118,116688,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test,test
928,raw_position_sample,2,2,int,,,900,1,1, The ,630,120,116739,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
979,raw_position_sample,2,2,int,,,900,1,1, The ,630,120,116790,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1029,raw_position_sample,2,2,int,,,900,1,1, The ,630,118,116840,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1080,raw_position_sample,2,2,int,,,900,1,1, The ,630,118,116890,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1131,raw_position_sample,2,2,int,,,900,1,1, The ,630,118,116941,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1181,raw_position_sample,2,2,int,,,900,1,1, The ,630,118,116992,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1232,raw_position_sample,2,2,int,,,900,1,1, The ,630,118,117042,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1282,raw_position_sample,2,2,int,,,900,1,1, The ,630,118,117092,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1331,raw_position_sample,2,2,int,,,900,1,1, The ,637,119,117142,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1382,raw_position_sample,2,2,int,,,900,1,1, The ,653,124,117193,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,625.36669921875,143.26666259765625,661.4000244140625,1,1,,,,,,,,,,,,,,,,,,,,,test,test
1402,hover_association,2,2,int,,,900,1,1, The ,625,119,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,621.7633666992188,153.26666259765625,661.4000244140625,1,1,hover,518,518,0.9899077158084222,0.31833343505859374,19,,,,,,,,,,,,,,,test,test
1432,raw_position_sample,2,2,int,,,900,1,2, coastal ,668,127,117243,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,661.4000244140625,143.26666259765625,723.4500274658203,1,2,,,,,,,,,,,,,,,,,,,,,test,test
1482,raw_position_sample,2,2,int,,,900,1,2, coastal ,678,128,117293,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,661.4000244140625,143.26666259765625,723.4500274658203,1,2,,,,,,,,,,,,,,,,,,,,,test,test
1532,raw_position_sample,2,2,int,,,900,1,2, coastal ,697,129,117343,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,661.4000244140625,143.26666259765625,723.4500274658203,1,2,,,,,,,,,,,,,,,,,,,,,test,test
1583,raw_position_sample,2,2,int,,,900,1,2, coastal ,716,129,117394,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,661.4000244140625,143.26666259765625,723.4500274658203,1,2,,,,,,,,,,,,,,,,,,,,,test,test
1602,hover_association,2,2,int,,,900,1,2, coastal ,665,126,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,661.4000244140625,153.26666259765625,723.4500198364258,1,2,hover,200,200,0.9766314271813277,0.39333343505859375,19,,,,,,,,,,,,,,,test,test
1633,raw_position_sample,2,2,int,,,900,1,3, tram ,738,129,117444,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,723.4500122070312,143.26666259765625,764.4666748046875,1,3,,,,,,,,,,,,,,,,,,,,,test,test
1668,hover_association,2,2,int,,,900,1,3, tram ,728,129,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,723.4500198364258,153.26666259765625,764.4666748046875,1,3,hover,66,66,0.8911009489159033,0.39333343505859375,19,,,,,,,,,,,,,,,test,test
1683,raw_position_sample,2,2,int,,,900,1,4, arrived ,766,129,117495,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,764.4666748046875,143.26666259765625,824.5166778564453,1,4,,,,,,,,,,,,,,,,,,,,,test,test
1733,raw_position_sample,2,2,int,,,900,1,4, arrived ,781,129,117545,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,764.4666748046875,143.26666259765625,824.5166778564453,1,4,,,,,,,,,,,,,,,,,,,,,test,test
1784,raw_position_sample,2,2,int,,,900,1,4, arrived ,794,129,117594,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,764.4666748046875,143.26666259765625,824.5166778564453,1,4,,,,,,,,,,,,,,,,,,,,,test,test
1834,raw_position_sample,2,2,int,,,900,1,4, arrived ,808,129,117644,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,764.4666748046875,143.26666259765625,824.5166778564453,1,4,,,,,,,,,,,,,,,,,,,,,test,test
1869,hover_association,2,2,int,,,900,1,4, arrived ,766,129,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,764.4666748046875,153.26666259765625,824.5166702270508,1,4,hover,201,201,0.9247848364469863,0.39333343505859375,19,,,,,,,,,,,,,,,test,test
1884,raw_position_sample,2,2,int,,,900,1,5, at ,827,129,117695,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,824.5166625976562,143.26666259765625,844.5333404541016,1,5,,,,,,,,,,,,,,,,,,,,,test,test
1919,hover_association,2,2,int,,,900,1,5, at ,827,129,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,824.5166702270508,153.26666259765625,844.533332824707,1,5,hover,50,50,0.773522044317326,0.39333343505859375,19,,,,,,,,,,,,,,,test,test
1935,raw_position_sample,2,2,int,,,900,1,6, the ,848,129,117745,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,844.5333251953125,143.26666259765625,874.566650390625,1,6,,,,,,,,,,,,,,,,,,,,,test,test
1986,raw_position_sample,2,2,int,,,900,1,6, the ,869,129,117797,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,844.5333251953125,143.26666259765625,874.566650390625,1,6,,,,,,,,,,,,,,,,,,,,,test,test
2018,hover_association,2,2,int,,,900,1,6, the ,848,129,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,844.533332824707,153.26666259765625,874.566650390625,1,6,hover,100,100,0.9478362526155669,0.39333343505859375,19,,,,,,,,,,,,,,,test,test
2037,raw_position_sample,2,2,int,,,900,1,7, station ,887,128,117847,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,874.566650390625,143.26666259765625,932.6166534423828,1,7,,,,,,,,,,,,,,,,,,,,,test,test
2087,raw_position_sample,2,2,int,,,900,1,7, station ,912,126,117897,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,874.566650390625,143.26666259765625,932.6166534423828,1,7,,,,,,,,,,,,,,,,,,,,,test,test
2136,hover_association,2,2,int,,,900,1,7, station ,880,129,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,874.566650390625,153.26666259765625,932.6166763305664,1,7,hover,117,117,0.9032442063612957,0.31833343505859374,19,,,,,,,,,,,,,,,test,test
2137,raw_position_sample,2,2,int,,,900,1,8, two ,935,126,117948,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,932.61669921875,143.26666259765625,965.6333618164062,1,8,,,,,,,,,,,,,,,,,,,,,test,test
2187,raw_position_sample,2,2,int,,,900,1,8, two ,956,126,117998,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,932.61669921875,143.26666259765625,965.6333618164062,1,8,,,,,,,,,,,,,,,,,,,,,test,test
2202,hover_association,2,2,int,,,900,1,8, two ,935,126,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,932.6166763305664,153.26666259765625,965.6333312988281,1,8,hover,66,66,0.7082281258325999,0.31833343505859374,19,,,,,,,,,,,,,,,test,test
2237,raw_position_sample,2,2,int,,,900,1,9, minutes ,986,125,118049,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,965.63330078125,143.26666259765625,1033.6833038330078,1,9,,,,,,,,,,,,,,,,,,,,,test,test
2288,raw_position_sample,2,2,int,,,900,1,9, minutes ,1014,124,118099,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,965.63330078125,143.26666259765625,1033.6833038330078,1,9,,,,,,,,,,,,,,,,,,,,,test,test
2338,raw_position_sample,2,2,int,,,900,1,9, minutes ,1033,122,118149,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,965.63330078125,143.26666259765625,1033.6833038330078,1,9,,,,,,,,,,,,,,,,,,,,,test,test
2352,hover_association,2,2,int,,,900,1,9, minutes ,968,126,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,965.6333312988281,153.26666259765625,1033.6833267211914,1,9,hover,151,151,0.9899584604385315,0.21833343505859376,19,,,,,,,,,,,,,,,test,test
2389,raw_position_sample,2,2,int,,,900,1,10, early. ,1053,121,118199,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,1033.683349609375,143.26666259765625,1081.3833465576172,1,10,,,,,,,,,,,,,,,,,,,,,test,test
2419,hover_association,2,2,int,,,900,1,10, early. ,1038,122,,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26666259765625,1033.6833267211914,153.26666259765625,1081.3833236694336,1,10,hover,67,67,0.782320244575692,0.11833343505859376,19,,,,,,,,,,,,,,,test,test
2438,raw_position_sample,2,2,int,,,900,1,11, Commuters ,1093,116,118249,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,1081.38330078125,143.26666259765625,1179.4333038330078,1,11,,,,,,,,,,,,,,,,,,,,,test,test
2489,raw_position_sample,2,2,int,,,900,1,11, Commuters ,1114,116,118299,test,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.26666259765625,1081.38330078125,143.26666259765625,1179.4333038330078,1,11,,,,,,,,,,,,,,,,,,,,,test,test
