responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId
379,raw_position_sample,2,2,int,26,2,23,24,-1,999,387,84,382708,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
429,raw_position_sample,2,2,int,26,2,23,24,-1,999,424,98,382759,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
479,raw_position_sample,2,2,int,26,2,23,24,-1,999,425,99,382809,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
529,raw_position_sample,2,2,int,26,2,23,24,-1,999,434,99,382860,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
580,raw_position_sample,2,2,int,26,2,23,24,-1,999,466,98,382910,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
631,raw_position_sample,2,2,int,26,2,23,24,2," Hartlauer, ",510,105,382961,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,470.48333740234375,130.06666564941406,553.5500030517578,1,2,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
668,hover_association,2,2,int,26,2,23,24,2," Hartlauer, ",496,102,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,470.4833450317383,140.06666564941406,553.5499954223633,1,2,hover,66,66,0.9693018147430792,0.34833335876464844,87,,,,,,,,,,,,,,,EmTest4,EmTest4
681,raw_position_sample,2,2,int,26,2,23,24,3," 32, ",568,117,383011,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,553.5499877929688,130.06666564941406,583.5833129882812,1,3,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
683,hover_association,2,2,int,26,2,23,24,3," 32, ",568,117,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,553.5499954223633,140.06666564941406,583.5833129882812,1,3,hover,16,16,0.4811324804834312,0.42333335876464845,87,,,,,,,,,,,,,,,EmTest4,EmTest4
718,hover_association,2,2,int,26,2,23,24,4, from ,596,122,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,583.5833129882812,140.06666564941406,624.599983215332,1,4,hover,34,34,0.7415688997508806,0.5733333587646484,87,,,,,,,,,,,,,,,EmTest4,EmTest4
732,raw_position_sample,2,2,int,26,2,23,24,5," Vienna, ",634,123,383061,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,624.5999755859375,130.06666564941406,690.3499755859375,1,5,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
767,hover_association,2,2,int,26,2,23,24,5," Vienna, ",634,123,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,624.599983215332,140.06666564941406,690.3499755859375,1,5,hover,49,49,0.8121676499013748,0.5733333587646484,87,,,,,,,,,,,,,,,EmTest4,EmTest4
782,raw_position_sample,2,2,int,26,2,23,24,6, said ,702,123,383112,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,690.3499755859375,130.06666564941406,728.38330078125,1,6,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
801,hover_association,2,2,int,26,2,23,24,6, said ,702,123,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,690.3499755859375,140.06666564941406,728.38330078125,1,6,hover,34,34,0.7269946624985156,0.5733333587646484,87,,,,,,,,,,,,,,,EmTest4,EmTest4
832,raw_position_sample,2,2,int,26,2,23,24,7, she ,759,123,383163,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,728.38330078125,130.06666564941406,762.4166412353516,1,7,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
835,hover_association,2,2,int,26,2,23,24,7, she ,734,123,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,728.38330078125,140.06666564941406,762.4166641235352,1,7,hover,34,34,0.8996083904734129,0.5733333587646484,87,,,,,,,,,,,,,,,EmTest4,EmTest4
867,hover_association,2,2,int,26,2,23,24,8, was ,774,122,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,762.4166641235352,140.06666564941406,799.433349609375,1,8,hover,33,33,0.7451595277761003,0.5483333587646484,87,,,,,,,,,,,,,,,EmTest4,EmTest4
883,raw_position_sample,2,2,int,26,2,23,24,9, not ,808,119,383213,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,799.433349609375,130.06666564941406,829.4666748046875,1,9,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
901,hover_association,2,2,int,26,2,23,24,9, not ,808,119,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,799.433349609375,140.06666564941406,829.4666748046875,1,9,hover,33,33,0.7513870090597603,0.4483333587646484,87,,,,,,,,,,,,,,,EmTest4,EmTest4
934,raw_position_sample,2,2,int,26,2,23,24,10, surprised ,862,115,383263,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,829.4666748046875,130.06666564941406,908.5333557128906,1,10,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
967,hover_association,2,2,int,26,2,23,24,10, surprised ,836,117,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,829.4666748046875,140.06666564941406,908.5333404541016,1,10,hover,67,67,0.8920741075393408,0.34833335876464844,87,,,,,,,,,,,,,,,EmTest4,EmTest4
984,hover_association,2,2,int,26,2,23,24,11, at ,916,114,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,908.5333404541016,140.06666564941406,928.5499877929688,1,11,hover,16,16,0.37302248570868823,0.34833335876464844,87,,,,,,,,,,,,,,,EmTest4,EmTest4
987,raw_position_sample,2,2,int,26,2,23,24,12, her ,931,114,383315,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,928.5499877929688,130.06666564941406,959.5833129882812,1,12,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1034,hover_association,2,2,int,26,2,23,24,12, her ,931,114,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,928.5499877929688,140.06666564941406,959.5833129882812,1,12,hover,51,51,0.9167568099124791,0.34833335876464844,87,,,,,,,,,,,,,,,EmTest4,EmTest4
1037,raw_position_sample,2,2,int,26,2,23,24,13, city’s ,961,115,383367,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,959.5833129882812,130.06666564941406,1004.2499847412109,1,13,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1087,raw_position_sample,2,2,int,26,2,23,24,13, city’s ,968,117,383417,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,959.5833129882812,130.06666564941406,1004.2499847412109,1,13,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1137,raw_position_sample,2,2,int,26,2,23,24,13, city’s ,970,118,383467,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,959.5833129882812,130.06666564941406,1004.2499847412109,1,13,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1188,raw_position_sample,2,2,int,26,2,23,24,13, city’s ,965,118,383518,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.06666564941406,959.5833129882812,130.06666564941406,1004.2499847412109,1,13,,,,,,,,,,,,,,,,,,,,,EmTest4,EmTest4
1201,hover_association,2,2,int,26,2,23,24,13, city’s ,961,115,,EmTest4,EmTest4,intermediate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06666564941406,959.5833129882812,140.06666564941406,1004.2499923706055,1,13,hover,166,166,0.1212690776799109,0.4483333587646484,87,,,,,,,,,,,,,,,EmTest4,EmTest4
