responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
515,raw_position_sample,2,2,int,2,2,2,3,-1,999,265,39,707668.1999999285,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
576,raw_position_sample,2,2,int,2,2,2,3,1, The ,370,69,707729.5,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,66.203125,340.875,86.203125,376.90625,1,1,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
588,hover_association,2,2,int,2,2,2,3,1, The ,370,69,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,hover,16.699999928474426,16.699999928474426,0.8257510052826618,0.319921875,165,56.203125,337.271875,96.203125,376.90625,1,1,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
620,hover_association,2,2,int,2,2,2,3,2, polygraph ,413,85,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,hover,33,33,0.8219330855018587,0.994921875,165,56.203125,376.90625,96.203125,460.96875,1,2,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
621,raw_position_sample,2,2,int,2,2,2,3,20, CIA ,493,110,707774.5999999046,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,106.203125,464.984375,126.203125,499,2,5,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
637,hover_association,2,2,int,2,2,2,3,20, CIA ,493,110,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,hover,16.700000047683716,16.700000047683716,0.823610473128158,0.344921875,165,96.203125,464.984375,136.203125,499,2,5,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
654,hover_association,2,2,int,2,2,2,3,23, much ,549,124,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,hover,16.899999976158142,16.899999976158142,0.040152963671128104,0.694921875,165,96.203125,547.03125,136.203125,596.0625,2,8,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
671,hover_association,2,2,int,2,2,2,3,35, communities ,598,138,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,hover,16.700000047683716,16.700000047683716,0.9904214559386973,0.044921875,165,136.203125,492.984375,176.203125,599.015625,3,4,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
673,raw_position_sample,2,2,int,2,2,2,3,37, not ,640,153,707826.7999999523,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,146.203125,624.046875,166.203125,654.078125,3,6,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
688,hover_association,2,2,int,2,2,2,3,37, not ,640,153,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,intermediate,2,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,spotlight_PROLIFIC,,38,Brazil,Brazilian Portuguese,"English, Spanish, French, Russian, German, Italian",Spanish|French|Russian|German|Italian,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,Brazilian Portuguese:50|English:20|Spanish:10|French:5|Russian:5|German:5|Italian:5,100,15,10,Bachelor's,10,10,10,8,8,8,12,25,24,24,EF test,86,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,hover,16.799999952316284,16.799999952316284,0.5312174817898023,0.419921875,165,136.203125,624.046875,176.203125,654.078125,3,6,,,,,,2026-08-16T12:52:20.749Z,GRU2983E,2026-08-16,2026-08-16,09:52:20,2026-08-16 09:52:20,,,,,,,,697b449c7c80253f9b0b544b,697b449c7c80253f9b0b544b,,,,
