responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,SubjectId,SubjectID,ProlificId,ProlificID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,sampleTimeMs,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key
735,hover_association,2,2,int,,,900,1,2, coastal ,428,109,hover,0.9000000357627869,0.9000000357627869,0.1509165250163433,0.1634375260472248,19,,,,,102.46249771118164,418.6375160217285,142.46250534057617,480.67501640319824,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,hover_association,2,2,int,,,900,1,2, coastal ,420,116,hover,16.30000001192093,16.30000001192093,0.021962264273923764,0.3384374926686301,19,,,,,102.46249771118164,418.6375160217285,142.46250534057617,480.67501640319824,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,raw_position_sample,2,2,int,,,900,1,1, The ,416,120,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86743.89999997616,,,,,,,,,,,,,,
844,raw_position_sample,2,2,int,,,900,1,1, The ,416,120,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86807.30000001192,,,,,,,,,,,,,,
888,raw_position_sample,2,2,int,,,900,1,1, The ,412,122,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86851.69999998808,,,,,,,,,,,,,,
932,raw_position_sample,2,2,int,,,900,1,1, The ,412,122,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86895.80000001192,,,,,,,,,,,,,,
981,raw_position_sample,2,2,int,,,900,1,1, The ,417,124,,,,,,,,,,,112.4625015258789,382.6125183105469,132.4625015258789,418.6375198364258,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86944.5,,,,,,,,,,,,,,
983,hover_association,2,2,int,,,900,1,1, The ,416,120,hover,217.10000002384186,217.10000002384186,0.9586772794144629,0.5384374545216647,19,,,,,102.46249771118164,379.010018157959,142.46250534057617,418.6375160217285,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,raw_position_sample,2,2,int,,,900,1,2, coastal ,447,128,,,,,,,,,,,112.4625015258789,418.63751220703125,132.4625015258789,480.6750144958496,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86997.30000001192,,,,,,,,,,,,,,
1083,hover_association,2,2,int,,,900,1,2, coastal ,425,126,hover,99.59999996423721,99.59999996423721,0.9568806546564655,0.5384374545216647,19,,,,,102.46249771118164,418.6375160217285,142.46250534057617,480.67501640319824,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,raw_position_sample,2,2,int,,,900,1,3, tram ,495,122,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87047.30000001192,,,,,,,,,,,,,,
1134,raw_position_sample,2,2,int,,,900,1,3, tram ,514,119,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87097.19999998808,,,,,,,,,,,,,,
1182,raw_position_sample,2,2,int,,,900,1,3, tram ,515,119,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87145.39999997616,,,,,,,,,,,,,,
1231,raw_position_sample,2,2,int,,,900,1,3, tram ,515,119,,,,,,,,,,,112.4625015258789,480.6750183105469,132.4625015258789,521.6875190734863,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87194.19999998808,,,,,,,,,,,,,,
