responseTime,ProlificId,ProlificID,SubjectId,SubjectID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,onestop_block_level,onestop_paragraph_index,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
8084,69ee5b5a3ca266d4c156e240,69ee5b5a3ca266d4c156e240,69ee5b5a3ca266d4c156e240,69ee5b5a3ca266d4c156e240,spotlight_PROLIFIC,welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,JYFD2SVU,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,1788682048595,NaN,69ee5b5a3ca266d4c156e240,69ee5b5a3ca266d4c156e240,69ee5b5a3ca266d4c156e240,69ee5b5a3ca266d4c156e240,spotlight_PROLIFIC,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
313715,,,,,,demographics_onestop,20,México,Spanish,"Spanis, English",Spanis,Spanish:45|English:55|Spanis:0,100,Spanish:70|English:30|Spanis:0,100,Spanish:100|English:0|Spanis:0,100,14,2,High school,10,10,9,6,8,10,9,13,9,16,Duolingo,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
313715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
23795,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Only for half an hour.,Only for half an hour.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
23795,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,2,We can't decide.,We can't decide.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
23795,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Would you like some help?,Would you like some help?,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
23795,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,4,I'll just check for you.,I'll just check for you.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
23795,,,,,,cambridge_general_english,,,,,,,,,,,,,,,,,,,,,,,,,,,5,I'm too tired.,I'm too tired.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
23795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-06T07:33:02.932Z,,2026-09-06,2026-09-06,00:33:02,2026-09-06 00:33:02,2026-09-06T08:07:29.251Z,2066319,,,,,,2026-09-06,01:07:29,2026-09-06 01:07:29,2066319
